,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
8F0QD5,2,C:USDJPY,2024-04-29 01:35:00+00:00,159.28998215,2024-04-29 04:05:00+00:00,158,1,1,-1.289982149999986,98.71001785000001
JCEQC7,2,C:USDJPY,2024-04-29 04:05:00+00:00,157.757055975,2024-04-29 04:15:00+00:00,157,-1,1,0.7570559749999859,99.467073825
O7ZGJP,2,C:USDJPY,2024-04-29 04:10:00+00:00,158.0879521,2024-04-29 04:15:00+00:00,157,1,1,-1.0879520999999954,98.379121725
NYT8E2,2,C:USDJPY,2024-04-29 04:15:00+00:00,156.79408005,2024-04-29 04:40:00+00:00,156,-1,1,0.7940800499999909,99.173201775
N4535N,2,C:USDJPY,2024-04-29 04:25:00+00:00,157.13192819999998,2024-04-29 04:40:00+00:00,156,1,1,-1.131928199999976,98.04127357500002
COCJBB,2,C:USDJPY,2024-04-29 04:30:00+00:00,156.22109437499998,2024-04-29 04:40:00+00:00,156,-1,1,0.22109437499997853,98.26236795
IO4RVJ,2,C:USDJPY,2024-04-29 04:40:00+00:00,155.753106075,2024-04-29 06:20:00+00:00,157,-1,1,-1.2468939249999949,97.015474025
TQ30OU,2,C:USDJPY,2024-04-29 05:00:00+00:00,155.243118825,2024-04-29 06:20:00+00:00,157,-1,1,-1.7568811749999895,95.25859285000001
1XRXA6,2,C:USDJPY,2024-04-29 04:55:00+00:00,156.30490752499998,2024-04-29 06:25:00+00:00,157,1,1,0.695092475000024,95.95368532500004
P8ND69,2,C:USDJPY,2024-04-29 05:15:00+00:00,155.9998999,2024-04-29 06:25:00+00:00,157,1,1,1.0001000999999974,96.95378542500004
I5EIKU,2,C:USDJPY,2024-04-29 05:20:00+00:00,156.14690357499998,2024-04-29 06:25:00+00:00,157,1,1,0.8530964250000181,97.80688185000005
R2K7RR,2,C:USDJPY,2024-04-29 06:25:00+00:00,157.2079301,2024-04-29 07:10:00+00:00,156,1,1,-1.2079300999999987,96.59895175000005
HGEHVK,2,C:USDJPY,2024-04-29 06:30:00+00:00,156.811079625,2024-04-29 07:10:00+00:00,156,-1,1,0.8110796249999908,97.41003137500005
EYHPAR,2,C:USDJPY,2024-04-29 06:35:00+00:00,157.00992515,2024-04-29 07:10:00+00:00,156,1,1,-1.0099251499999866,96.40010622500006
MSMDCQ,2,C:USDJPY,2024-04-29 07:05:00+00:00,156.36309082499997,2024-04-29 07:10:00+00:00,156,-1,1,0.36309082499997203,96.76319705000003
IJ5YIP,2,C:USDJPY,2024-04-29 07:10:00+00:00,155.481112875,2024-04-29 07:30:00+00:00,155,-1,1,0.481112875000008,97.24430992500004
