Macrotrends Data Download

Lumber Prices - 50 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1972-11-16,128.4000
1972-11-17,128.4000
1972-11-20,128.4000
1972-11-21,127.0000
1972-11-27,127.1000
1972-11-28,127.1000
1972-11-29,127.1000
1972-11-30,127.1000
1972-12-01,128.0000
1972-12-04,128.0000
1972-12-05,128.0000
1972-12-06,130.0000
1972-12-07,130.0000
1972-12-08,134.0000
1972-12-11,138.0000
1972-12-12,138.0000
1972-12-13,138.0000
1972-12-14,138.0000
1972-12-15,138.0000
1972-12-18,138.5000
1972-12-19,138.5000
1972-12-20,138.5000
1972-12-21,137.0000
1972-12-22,138.5000
1972-12-26,137.0000
1972-12-27,142.0000
1972-12-29,144.0000
1973-01-02,144.0000
1973-01-03,145.0000
1973-01-04,145.0000
1973-01-05,145.0000
1973-01-08,146.0000
1973-01-09,147.0000
1973-01-10,152.0000
1973-01-11,147.0000
1973-01-12,147.0000
1973-01-15,142.5000
1973-01-16,142.0000
1973-01-17,144.0000
1973-01-18,145.0000
1973-01-19,146.0000
1973-01-22,145.0000
1973-01-23,145.0000
1973-01-24,145.0000
1973-01-26,147.3000
1973-01-29,145.0000
1973-01-30,143.0000
1973-01-31,145.0000
1973-02-01,146.2000
1973-02-02,147.3000
1973-02-05,151.5000
1973-02-06,153.0000
1973-02-07,152.3000
1973-02-08,155.0000
1973-02-09,158.0000
1973-02-12,162.0000
1973-02-13,157.0000
1973-02-14,157.0000
1973-02-15,158.7000
1973-02-16,156.5000
1973-02-20,158.5000
1973-02-21,163.4000
1973-02-22,163.1000
1973-02-23,162.0000
1973-02-26,160.0000
1973-02-27,158.0000
1973-02-28,158.0000
1973-03-01,159.5000
1973-03-02,158.9000
1973-03-05,159.2000
1973-03-06,159.0000
1973-03-07,161.0000
1973-03-08,166.0000
1973-03-09,166.0000
1973-03-12,171.0000
1973-03-13,171.5000
1973-03-14,167.9000
1973-03-15,167.9000
1973-03-16,170.0000
1973-03-19,171.5000
1973-03-20,169.2000
1973-03-21,168.0000
1973-03-22,168.5000
1973-03-23,168.5000
1973-03-26,163.5000
1973-03-27,158.5000
