,candle_size
JQCHW9,0.0020000000000095497
TCCT38,-0.028999999999996362
GZRK9K,0.09900000000001796
SUWMHB,-0.054000000000002046
H450NO,-0.01500000000001478
CA26UM,0.01700000000002433
5QHKL4,0.007999999999995566
6CTS62,-0.07800000000000296
QLLZIF,-0.02200000000001978
CEDBRS,-0.04999999999998295
LJ5L5S,-0.05000000000001137
OAGPP9,0.01099999999999568
DVGU0W,0.0759999999999934
6GB37R,-0.022999999999996135
RI05LN,-0.03899999999998727
2RK3V8,-0.018000000000000682
Y98E57,0.0
WWYS75,-0.007000000000005002
204OIS,-0.03700000000000614
IW3OZK,-0.018000000000000682
GPNYQS,-0.006000000000000227
OSBNUW,-0.014000000000010004
O48ECJ,0.003999999999990678
19RFPW,-0.01500000000001478
LIFIST,-0.004000000000019099
YAO1BH,0.022999999999996135
NSK33A,0.030000000000001137
5AGKXD,0.08500000000003638
5CB83G,-0.04600000000002069
BTS9L4,0.0049999999999954525
AJUXAC,-0.03700000000000614
H0Q92I,0.0020000000000095497
ILHOV2,0.02600000000001046
INX7D7,0.0049999999999954525
8OME5V,0.06399999999999295
VX8L9B,0.01700000000002433
FC44HJ,0.0630000000000166
6OEZZA,-0.07600000000002183
UCARW7,0.049000000000006594
JJAS96,0.038999999999958845
PGXB1Y,0.012999999999976808
IR5GAI,0.01799999999997226
KS1U5S,0.05000000000001137
UUV5A8,0.09199999999998454
N7ETTN,0.020000000000010232
7JH90T,-0.03799999999995407
E4Y6X7,0.0049999999999954525
70FZM6,-0.06699999999997885
7YZPZU,-0.019000000000005457
RUHOAW,0.025999999999982037
HD29CU,0.038000000000010914
O3T5BR,0.029000000000024784
LD1R8O,-0.03100000000000591
AFRTD3,-0.0069999999999765805
3EBDTH,-0.01999999999998181
LNU0FH,0.0010000000000047748
5MUUUX,-0.019000000000005457
RLA1FP,-0.05099999999998772
F3TGVP,-0.05299999999999727
QO8LBM,-0.031999999999982265
111LWJ,0.024999999999977263
MW3YDP,0.003999999999990678
VUR163,0.06299999999998818
A3TIF5,-0.1759999999999593
XIGO1O,0.12499999999997158
NYEURD,0.005999999999971806
BLVQ1R,0.04999999999998295
NL93JC,0.0
A9JSDO,-0.03100000000000591
0ZAF8R,-0.043000000000006366
2U9DNL,0.0519999999999925
A26K4P,0.002999999999957481
Y11DVR,0.03499999999996817
9X5K0N,-0.024999999999977263
Z8VJWP,0.027999999999991587
GKFBWH,0.028999999999996362
N88ORM,-0.006000000000000227
6F4W36,-0.06499999999999773
SH58IX,-0.1239999999999668
MCHCHU,-0.07300000000003593
A40ONX,0.054000000000002046
22H4H8,-0.02600000000001046
8S07O4,-0.05700000000001637
XJUXGA,-0.038000000000010914
QY0CD6,0.271000000000015
WLZL9N,0.025000000000005684
FIXDL2,0.031999999999982265
1JAIKD,0.02800000000002001
GALFAO,-0.038000000000010914
4XF1AE,0.018999999999977035
ARTFRW,0.002999999999985903
RIUUZP,0.014000000000038426
8BTXTT,0.02199999999999136
KUHLVE,0.04400000000001114
40WN6I,0.024999999999977263
580BN4,-0.17499999999998295
OZ8TW5,-0.057999999999992724
G5EU58,-0.12300000000001887
LH7WQI,-0.21999999999999886
EW65Y9,-0.1209999999999809
90AEAG,0.10599999999999454
JY55W4,0.06499999999999773
TFOEX7,0.10599999999999454
HZP06B,0.008000000000038199
4F90AK,0.020999999999986585
Q1QXA1,0.020000000000038654
XSLA89,0.02499999999994884
4T4JVJ,0.04600000000004911
L63Y5K,-0.19599999999996953
2EW1IV,-0.3259999999999934
0XS365,-0.14600000000004343
ZGOII9,-0.09399999999999409
SUZM8J,-0.029999999999972715
Q59SBQ,0.02400000000002933
O2LK63,0.03300000000001546
LHFDPN,0.009000000000014552
E2EG1L,0.015000000000043201
FZ3AYI,0.0619999999999834
TX5CSS,-0.012000000000000455
GLQE99,0.08900000000002706
7RLQXO,-0.03299999999998704
RQRTX7,-0.07699999999999818
1CU0MH,0.117999999999995
OYZP51,0.06700000000000728
8P2MVQ,-0.012999999999976808
HEO0B7,0.0049999999999954525
U7YRVN,-0.09699999999997999
O3EC57,0.08700000000001751
01OOPD,0.07899999999995089
STZ6XK,0.05000000000001137
Q3C7BY,0.04600000000002069
ZGSDY1,0.03200000000003911
1KT69F,-0.10499999999998977
P4KQ0M,0.006000000000000227
GOP6WK,-0.0049999999999954525
UZAI3Z,0.08200000000002206
KD8J6Q,-0.09499999999999886
DL4NZ8,-0.10199999999997544
2B78FE,0.04800000000000182
NLXGQ4,-0.2260000000000275
8M8TUH,0.02899999999996794
8X590Q,0.013999999999981583
IS8MEB,0.1279999999999859
BZCX31,0.19300000000004047
ANPYMH,-0.031000000000034333
ESO87E,-0.0670000000000357
1B6D46,-0.03299999999998704
PBFH0D,-0.060000000000002274
NL3YPY,0.049000000000006594
6PS6C0,0.022999999999996135
ZM3YZ8,-0.006000000000000227
GN8ECJ,0.002999999999985903
X3PF0D,0.022999999999967713
