,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
PNE4VF,1,C:USDJPY,2022-05-27 00:35:00+00:00,126.9396527,2022-05-29 21:00:00+00:00,126.99634950000001,-1,4.775549188156652,-0.27075835721113567,100.0
XIAUZY,1,C:USDJPY,2022-05-30 03:15:00+00:00,127.02435090000002,2022-05-31 00:10:00+00:00,128.0,1,4.903109225309207,4.783714102874546,99.72924164278886
8J1IOC,1,C:USDJPY,2022-05-31 04:15:00+00:00,127.97460095,2022-06-01 01:10:00+00:00,129.0,-1,5.143354121341749,-5.273990429837436,104.5129557456634
KJPI07,1,C:USDJPY,2022-06-01 03:05:00+00:00,128.97755080000002,2022-06-01 15:05:00+00:00,130.0,-1,4.898270746092214,-5.008233005725303,99.23896531582596
94QUWL,1,C:USDJPY,2022-06-01 15:40:00+00:00,130.03950165,2022-06-05 21:00:00+00:00,130.8914551,1,4.569870626096029,3.8933170459561555,94.23073231010066
QR16VJ,1,C:USDJPY,2022-06-06 19:00:00+00:00,131.94240255000003,2022-06-07 06:15:00+00:00,133.0,-1,4.681490904392016,-4.95113284268307,98.12404935605682
TN7KLI,1,C:USDJPY,2022-06-08 00:55:00+00:00,133.07565345,2022-06-08 10:45:00+00:00,134.0,1,4.362027926656026,4.0320254650081315,93.17291651337375
HGJYGQ,1,C:USDJPY,2022-06-08 10:55:00+00:00,133.99529990000002,2022-06-10 21:15:00+00:00,134.42672100000001,-1,4.850546006905238,-2.0926278938996377,97.20494197838188
79FDPJ,1,C:USDJPY,2022-06-13 04:05:00+00:00,135.07875360000003,2022-06-13 12:25:00+00:00,134.0,1,4.473768301245687,-4.8260936605347915,95.11231408448225
0RIQLQ,1,C:USDJPY,2022-06-13 13:00:00+00:00,133.93930269999998,2022-06-14 16:15:00+00:00,135.0,-1,4.299343829711737,-4.560302391946965,90.28622042394746
TUMRUA,1,C:USDJPY,2022-06-15 00:50:00+00:00,134.96025165,2022-06-15 18:35:00+00:00,134.0,-1,4.194027300978533,4.027321635909698,85.7259180320005
JCYY4T,1,C:USDJPY,2022-06-15 19:00:00+00:00,133.9813006,2022-06-16 09:15:00+00:00,133.0,-1,4.452045618448009,4.368795036610391,89.7532396679102
7FX3U2,1,C:USDJPY,2022-06-16 09:45:00+00:00,133.02565095000003,2022-06-16 15:40:00+00:00,132.0,1,4.61835302769971,-4.736818170295712,94.12203470452059
