,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL
W21DSS,2,C:USDJPY,2022-05-27 00:35:00+00:00,126.9396527,2022-05-31 00:05:00+00:00,128,-1,1,-1.0603473000000037
RGCIZZ,2,C:USDJPY,2022-05-27 01:30:00+00:00,126.97965070000001,2022-05-31 00:05:00+00:00,128,-1,1,-1.0203492999999924
F7OAGS,2,C:USDJPY,2022-05-27 06:50:00+00:00,126.98665034999999,2022-05-31 00:05:00+00:00,128,-1,1,-1.0133496500000092
R6JS5G,2,C:USDJPY,2022-05-27 11:05:00+00:00,126.96465145,2022-05-31 00:05:00+00:00,128,-1,1,-1.0353485499999948
MV0Q8C,2,C:USDJPY,2022-05-27 13:00:00+00:00,126.9876503,2022-05-31 00:05:00+00:00,128,-1,1,-1.0123497000000015
H6068A,2,C:USDJPY,2022-05-27 13:40:00+00:00,126.94765229999999,2022-05-31 00:05:00+00:00,128,-1,1,-1.0523477000000128
9240ZH,2,C:USDJPY,2022-05-30 01:40:00+00:00,126.9256534,2022-05-31 00:05:00+00:00,128,-1,1,-1.0743465999999984
LYML7M,2,C:USDJPY,2022-05-30 02:45:00+00:00,126.9596517,2022-05-31 00:05:00+00:00,128,-1,1,-1.040348300000005
BDF3ND,2,C:USDJPY,2022-05-30 03:35:00+00:00,126.9876503,2022-05-31 00:05:00+00:00,128,-1,1,-1.0123497000000015
VX0030,2,C:USDJPY,2022-05-30 03:55:00+00:00,126.97265105,2022-05-31 00:05:00+00:00,128,-1,1,-1.027348950000004
E3OFWP,2,C:USDJPY,2022-05-30 04:35:00+00:00,126.96465145,2022-05-31 00:05:00+00:00,128,-1,1,-1.0353485499999948
1FRLDO,2,C:USDJPY,2022-05-30 05:05:00+00:00,126.98465045,2022-05-31 00:05:00+00:00,128,-1,1,-1.0153495499999963
SQ1ZUB,2,C:USDJPY,2022-05-30 05:35:00+00:00,126.97865075,2022-05-31 00:05:00+00:00,128,-1,1,-1.02134925
L0TBG0,2,C:USDJPY,2022-05-27 00:55:00+00:00,127.00635000000001,2022-05-31 00:10:00+00:00,128,1,1,0.9936499999999882
Z0UYVX,2,C:USDJPY,2022-05-27 01:10:00+00:00,127.06535295,2022-05-31 00:10:00+00:00,128,1,1,0.9346470499999953
109PSF,2,C:USDJPY,2022-05-27 06:45:00+00:00,127.01635050000002,2022-05-31 00:10:00+00:00,128,1,1,0.9836494999999843
887A22,2,C:USDJPY,2022-05-27 06:55:00+00:00,127.01935065000002,2022-05-31 00:10:00+00:00,128,1,1,0.9806493499999789
Y2TP19,2,C:USDJPY,2022-05-27 12:40:00+00:00,127.03935165000001,2022-05-31 00:10:00+00:00,128,1,1,0.9606483499999854
DK66FH,2,C:USDJPY,2022-05-27 13:35:00+00:00,127.00735005000001,2022-05-31 00:10:00+00:00,128,1,1,0.9926499499999863
5HUODV,2,C:USDJPY,2022-05-27 14:50:00+00:00,127.04635200000001,2022-05-31 00:10:00+00:00,128,1,1,0.953647999999987
393CTS,2,C:USDJPY,2022-05-30 02:40:00+00:00,127.01135025,2022-05-31 00:10:00+00:00,128,1,1,0.9886497499999933
CZBLZK,2,C:USDJPY,2022-05-30 03:15:00+00:00,127.02435090000002,2022-05-31 00:10:00+00:00,128,1,1,0.9756490999999841
YZESYD,2,C:USDJPY,2022-05-30 03:50:00+00:00,127.02235080000001,2022-05-31 00:10:00+00:00,128,1,1,0.9776491999999877
JDAN5X,2,C:USDJPY,2022-05-30 04:25:00+00:00,127.01635050000002,2022-05-31 00:10:00+00:00,128,1,1,0.9836494999999843
UCSP7J,2,C:USDJPY,2022-05-30 04:50:00+00:00,127.00134975000002,2022-05-31 00:10:00+00:00,128,1,1,0.998650249999983
KBCQFB,2,C:USDJPY,2022-05-30 05:50:00+00:00,127.02035070000001,2022-05-31 00:10:00+00:00,128,1,1,0.9796492999999913
S6UZ9Z,2,C:USDJPY,2022-05-31 04:15:00+00:00,127.97460095,2022-06-01 01:10:00+00:00,129,-1,1,-1.0253990500000043
CW4UZY,2,C:USDJPY,2022-05-31 04:40:00+00:00,127.98860025,2022-06-01 01:10:00+00:00,129,-1,1,-1.0113997499999954
02P6RE,2,C:USDJPY,2022-05-31 05:00:00+00:00,127.9656014,2022-06-01 01:10:00+00:00,129,-1,1,-1.034398600000003
KEG7JK,2,C:USDJPY,2022-05-31 07:00:00+00:00,127.9516021,2022-06-01 01:10:00+00:00,129,-1,1,-1.0483978999999977
NANHWM,2,C:USDJPY,2022-05-31 10:55:00+00:00,127.97760079999999,2022-06-01 01:10:00+00:00,129,-1,1,-1.0223992000000095
B2MN0V,2,C:USDJPY,2022-05-31 11:10:00+00:00,127.9876003,2022-06-01 01:10:00+00:00,129,-1,1,-1.0123997000000031
HCQCEG,2,C:USDJPY,2022-05-31 00:10:00+00:00,128.05340235,2022-06-01 01:15:00+00:00,129,1,1,0.9465976500000011
2AVP82,2,C:USDJPY,2022-05-31 04:20:00+00:00,128.07440340000002,2022-06-01 01:15:00+00:00,129,1,1,0.9255965999999773
KXM358,2,C:USDJPY,2022-05-31 04:55:00+00:00,128.01340035,2022-06-01 01:15:00+00:00,129,1,1,0.9865996499999881
QNE000,2,C:USDJPY,2022-05-31 06:45:00+00:00,128.01140025,2022-06-01 01:15:00+00:00,129,1,1,0.9885997499999917
7L3LJY,2,C:USDJPY,2022-05-31 10:45:00+00:00,128.02740105,2022-06-01 01:15:00+00:00,129,1,1,0.9725989499999912
7OGGSG,2,C:USDJPY,2022-05-31 11:00:00+00:00,128.00539995,2022-06-01 01:15:00+00:00,129,1,1,0.9946000500000025
1OLZQV,2,C:USDJPY,2022-05-31 11:05:00+00:00,128.06540295000002,2022-06-01 01:15:00+00:00,129,1,1,0.9345970499999794
8A1RHU,2,C:USDJPY,2022-05-31 11:15:00+00:00,128.05040220000004,2022-06-01 01:15:00+00:00,129,1,1,0.9495977999999639
AJQHI9,2,C:USDJPY,2022-06-01 01:15:00+00:00,129.04345185000003,2022-06-01 15:05:00+00:00,130,1,1,0.9565481499999748
E2FNAO,2,C:USDJPY,2022-06-01 03:05:00+00:00,128.97755080000002,2022-06-01 15:05:00+00:00,130,-1,1,-1.0224491999999827
ZX3HUL,2,C:USDJPY,2022-06-01 03:10:00+00:00,129.00945015,2022-06-01 15:05:00+00:00,130,1,1,0.9905498500000078
N46D9Q,2,C:USDJPY,2022-06-01 15:40:00+00:00,130.03950165,2022-06-06 14:05:00+00:00,131,1,1,0.9604983499999946
OENZP7,2,C:USDJPY,2022-06-01 16:10:00+00:00,129.96450145,2022-06-06 14:05:00+00:00,131,-1,1,-1.0354985499999998
N4WWQC,2,C:USDJPY,2022-06-02 00:25:00+00:00,129.9555019,2022-06-06 14:05:00+00:00,131,-1,1,-1.0444980999999984
DLRJ7C,2,C:USDJPY,2022-06-02 00:50:00+00:00,130.04150175,2022-06-06 14:05:00+00:00,131,1,1,0.958498249999991
6T7W8K,2,C:USDJPY,2022-06-02 01:55:00+00:00,129.9875003,2022-06-06 14:05:00+00:00,131,-1,1,-1.0124997000000064
7D00FH,2,C:USDJPY,2022-06-02 02:20:00+00:00,130.00650000000002,2022-06-06 14:05:00+00:00,131,1,1,0.9934999999999832
