,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
JQCHW9,2,C:USDJPY,2022-05-27 00:35:00+00:00,126.9396527,2022-05-31 00:05:00+00:00,128,-1,1,-1.0603473000000037,98.9396527
SUWMHB,2,C:USDJPY,2022-05-27 01:30:00+00:00,126.97965070000001,2022-05-31 00:05:00+00:00,128,-1,1,-1.0203492999999924,97.9193034
CA26UM,2,C:USDJPY,2022-05-27 06:50:00+00:00,126.98665034999999,2022-05-31 00:05:00+00:00,128,-1,1,-1.0133496500000092,96.90595375
6CTS62,2,C:USDJPY,2022-05-27 11:05:00+00:00,126.96465145,2022-05-31 00:05:00+00:00,128,-1,1,-1.0353485499999948,95.8706052
CEDBRS,2,C:USDJPY,2022-05-27 13:00:00+00:00,126.9876503,2022-05-31 00:05:00+00:00,128,-1,1,-1.0123497000000015,94.8582555
OAGPP9,2,C:USDJPY,2022-05-27 13:40:00+00:00,126.94765229999999,2022-05-31 00:05:00+00:00,128,-1,1,-1.0523477000000128,93.80590779999999
6GB37R,2,C:USDJPY,2022-05-30 01:40:00+00:00,126.9256534,2022-05-31 00:05:00+00:00,128,-1,1,-1.0743465999999984,92.73156119999999
2RK3V8,2,C:USDJPY,2022-05-30 02:45:00+00:00,126.9596517,2022-05-31 00:05:00+00:00,128,-1,1,-1.040348300000005,91.69121289999998
WWYS75,2,C:USDJPY,2022-05-30 03:35:00+00:00,126.9876503,2022-05-31 00:05:00+00:00,128,-1,1,-1.0123497000000015,90.67886319999998
IW3OZK,2,C:USDJPY,2022-05-30 03:55:00+00:00,126.97265105,2022-05-31 00:05:00+00:00,128,-1,1,-1.027348950000004,89.65151424999998
OSBNUW,2,C:USDJPY,2022-05-30 04:35:00+00:00,126.96465145,2022-05-31 00:05:00+00:00,128,-1,1,-1.0353485499999948,88.61616569999998
19RFPW,2,C:USDJPY,2022-05-30 05:05:00+00:00,126.98465045,2022-05-31 00:05:00+00:00,128,-1,1,-1.0153495499999963,87.60081614999999
LIFIST,2,C:USDJPY,2022-05-30 05:35:00+00:00,126.97865075,2022-05-31 00:05:00+00:00,128,-1,1,-1.02134925,86.57946689999999
TCCT38,2,C:USDJPY,2022-05-27 00:55:00+00:00,127.00635000000001,2022-05-31 00:10:00+00:00,128,1,1,0.9936499999999882,87.57311689999997
GZRK9K,2,C:USDJPY,2022-05-27 01:10:00+00:00,127.06535295,2022-05-31 00:10:00+00:00,128,1,1,0.9346470499999953,88.50776394999997
H450NO,2,C:USDJPY,2022-05-27 06:45:00+00:00,127.01635050000002,2022-05-31 00:10:00+00:00,128,1,1,0.9836494999999843,89.49141344999995
5QHKL4,2,C:USDJPY,2022-05-27 06:55:00+00:00,127.01935065000002,2022-05-31 00:10:00+00:00,128,1,1,0.9806493499999789,90.47206279999993
QLLZIF,2,C:USDJPY,2022-05-27 12:40:00+00:00,127.03935165000001,2022-05-31 00:10:00+00:00,128,1,1,0.9606483499999854,91.43271114999992
LJ5L5S,2,C:USDJPY,2022-05-27 13:35:00+00:00,127.00735005000001,2022-05-31 00:10:00+00:00,128,1,1,0.9926499499999863,92.4253610999999
DVGU0W,2,C:USDJPY,2022-05-27 14:50:00+00:00,127.04635200000001,2022-05-31 00:10:00+00:00,128,1,1,0.953647999999987,93.37900909999989
RI05LN,2,C:USDJPY,2022-05-30 02:40:00+00:00,127.01135025,2022-05-31 00:10:00+00:00,128,1,1,0.9886497499999933,94.36765884999988
Y98E57,2,C:USDJPY,2022-05-30 03:15:00+00:00,127.02435090000002,2022-05-31 00:10:00+00:00,128,1,1,0.9756490999999841,95.34330794999987
204OIS,2,C:USDJPY,2022-05-30 03:50:00+00:00,127.02235080000001,2022-05-31 00:10:00+00:00,128,1,1,0.9776491999999877,96.32095714999986
GPNYQS,2,C:USDJPY,2022-05-30 04:25:00+00:00,127.01635050000002,2022-05-31 00:10:00+00:00,128,1,1,0.9836494999999843,97.30460664999984
O48ECJ,2,C:USDJPY,2022-05-30 04:50:00+00:00,127.00134975000002,2022-05-31 00:10:00+00:00,128,1,1,0.998650249999983,98.30325689999982
YAO1BH,2,C:USDJPY,2022-05-30 05:50:00+00:00,127.02035070000001,2022-05-31 00:10:00+00:00,128,1,1,0.9796492999999913,99.28290619999981
5AGKXD,2,C:USDJPY,2022-05-31 04:15:00+00:00,127.97460095,2022-06-01 01:10:00+00:00,129,-1,1,-1.0253990500000043,98.25750714999981
BTS9L4,2,C:USDJPY,2022-05-31 04:40:00+00:00,127.98860025,2022-06-01 01:10:00+00:00,129,-1,1,-1.0113997499999954,97.24610739999981
