dealref,strat_id,instrument,open_time,open_time_2,open_price,close_time,close_time_2,close_price,dir,size,PnL,open_time_formatted,close_time_formatted,time_in_trade,W/L
C5C4T0,2,C:USDJPY,2022-05-27 00:35:00+00:00,2022-05-27 00:35,126.9396527,2022-05-31 00:05:00+00:00,2022-05-31 00:05,128,-1,1,-1.0603473,00:35,00:05,23:30:00,-1
XFCV0G,2,C:USDJPY,2022-05-27 01:30:00+00:00,2022-05-27 01:30,126.9796507,2022-05-31 00:05:00+00:00,2022-05-31 00:05,128,-1,1,-1.0203493,01:30,00:05,22:35:00,-1
Z08Y81,2,C:USDJPY,2022-05-27 06:50:00+00:00,2022-05-27 06:50,126.9866503,2022-05-31 00:05:00+00:00,2022-05-31 00:05,128,-1,1,-1.01334965,06:50,00:05,17:15:00,-1
VXJO98,2,C:USDJPY,2022-05-27 11:05:00+00:00,2022-05-27 11:05,126.9646515,2022-05-31 00:05:00+00:00,2022-05-31 00:05,128,-1,1,-1.03534855,11:05,00:05,13:00:00,-1
T4K4O0,2,C:USDJPY,2022-05-27 13:00:00+00:00,2022-05-27 13:00,126.9876503,2022-05-31 00:05:00+00:00,2022-05-31 00:05,128,-1,1,-1.0123497,13:00,00:05,11:05:00,-1
100G9J,2,C:USDJPY,2022-05-27 13:40:00+00:00,2022-05-27 13:40,126.9476523,2022-05-31 00:05:00+00:00,2022-05-31 00:05,128,-1,1,-1.0523477,13:40,00:05,10:25:00,-1
6FPUN5,2,C:USDJPY,2022-05-30 01:40:00+00:00,2022-05-30 01:40,126.9256534,2022-05-31 00:05:00+00:00,2022-05-31 00:05,128,-1,1,-1.0743466,01:40,00:05,22:25:00,-1
082I9F,2,C:USDJPY,2022-05-30 02:45:00+00:00,2022-05-30 02:45,126.9596517,2022-05-31 00:05:00+00:00,2022-05-31 00:05,128,-1,1,-1.0403483,02:45,00:05,21:20:00,-1
OFESB3,2,C:USDJPY,2022-05-30 03:35:00+00:00,2022-05-30 03:35,126.9876503,2022-05-31 00:05:00+00:00,2022-05-31 00:05,128,-1,1,-1.0123497,03:35,00:05,20:30:00,-1
9JYYPW,2,C:USDJPY,2022-05-30 03:55:00+00:00,2022-05-30 03:55,126.9726511,2022-05-31 00:05:00+00:00,2022-05-31 00:05,128,-1,1,-1.02734895,03:55,00:05,20:10:00,-1
R92FXS,2,C:USDJPY,2022-05-30 04:35:00+00:00,2022-05-30 04:35,126.9646515,2022-05-31 00:05:00+00:00,2022-05-31 00:05,128,-1,1,-1.03534855,04:35,00:05,19:30:00,-1
5HS4AX,2,C:USDJPY,2022-05-30 05:05:00+00:00,2022-05-30 05:05,126.9846505,2022-05-31 00:05:00+00:00,2022-05-31 00:05,128,-1,1,-1.01534955,05:05,00:05,19:00:00,-1
989U7I,2,C:USDJPY,2022-05-30 05:35:00+00:00,2022-05-30 05:35,126.9786508,2022-05-31 00:05:00+00:00,2022-05-31 00:05,128,-1,1,-1.02134925,05:35,00:05,18:30:00,-1
62TO7D,2,C:USDJPY,2022-05-27 00:55:00+00:00,2022-05-27 00:55,127.00635,2022-05-31 00:10:00+00:00,2022-05-31 00:10,128,1,1,0.99365,00:55,00:10,23:15:00,1
G14PQN,2,C:USDJPY,2022-05-27 01:10:00+00:00,2022-05-27 01:10,127.065353,2022-05-31 00:10:00+00:00,2022-05-31 00:10,128,1,1,0.93464705,01:10,00:10,23:00:00,1
8UBMGE,2,C:USDJPY,2022-05-27 06:45:00+00:00,2022-05-27 06:45,127.0163505,2022-05-31 00:10:00+00:00,2022-05-31 00:10,128,1,1,0.9836495,06:45,00:10,17:25:00,1
1JER37,2,C:USDJPY,2022-05-27 06:55:00+00:00,2022-05-27 06:55,127.0193507,2022-05-31 00:10:00+00:00,2022-05-31 00:10,128,1,1,0.98064935,06:55,00:10,17:15:00,1
1R6A00,2,C:USDJPY,2022-05-27 12:40:00+00:00,2022-05-27 12:40,127.0393517,2022-05-31 00:10:00+00:00,2022-05-31 00:10,128,1,1,0.96064835,12:40,00:10,11:30:00,1
3LHJHX,2,C:USDJPY,2022-05-27 13:35:00+00:00,2022-05-27 13:35,127.0073501,2022-05-31 00:10:00+00:00,2022-05-31 00:10,128,1,1,0.99264995,13:35,00:10,10:35:00,1
1OJ7J2,2,C:USDJPY,2022-05-27 14:50:00+00:00,2022-05-27 14:50,127.046352,2022-05-31 00:10:00+00:00,2022-05-31 00:10,128,1,1,0.953648,14:50,00:10,09:20:00,1
Y04ANY,2,C:USDJPY,2022-05-30 02:40:00+00:00,2022-05-30 02:40,127.0113503,2022-05-31 00:10:00+00:00,2022-05-31 00:10,128,1,1,0.98864975,02:40,00:10,21:30:00,1
R6K4AR,2,C:USDJPY,2022-05-30 03:15:00+00:00,2022-05-30 03:15,127.0243509,2022-05-31 00:10:00+00:00,2022-05-31 00:10,128,1,1,0.9756491,03:15,00:10,20:55:00,1
21LXRU,2,C:USDJPY,2022-05-30 03:50:00+00:00,2022-05-30 03:50,127.0223508,2022-05-31 00:10:00+00:00,2022-05-31 00:10,128,1,1,0.9776492,03:50,00:10,20:20:00,1
NLSATM,2,C:USDJPY,2022-05-30 04:25:00+00:00,2022-05-30 04:25,127.0163505,2022-05-31 00:10:00+00:00,2022-05-31 00:10,128,1,1,0.9836495,04:25,00:10,19:45:00,1
OV6RAA,2,C:USDJPY,2022-05-30 04:50:00+00:00,2022-05-30 04:50,127.0013498,2022-05-31 00:10:00+00:00,2022-05-31 00:10,128,1,1,0.99865025,04:50,00:10,19:20:00,1
61F6U7,2,C:USDJPY,2022-05-30 05:50:00+00:00,2022-05-30 05:50,127.0203507,2022-05-31 00:10:00+00:00,2022-05-31 00:10,128,1,1,0.9796493,05:50,00:10,18:20:00,1
P6BMWI,2,C:USDJPY,2022-05-31 04:15:00+00:00,2022-05-31 04:15,127.974601,2022-06-01 01:10:00+00:00,2022-06-01 01:10,129,-1,1,-1.02539905,04:15,01:10,20:55:00,-1
YOAT59,2,C:USDJPY,2022-05-31 04:40:00+00:00,2022-05-31 04:40,127.9886003,2022-06-01 01:10:00+00:00,2022-06-01 01:10,129,-1,1,-1.01139975,04:40,01:10,20:30:00,-1
6DS67C,2,C:USDJPY,2022-05-31 05:00:00+00:00,2022-05-31 05:00,127.9656014,2022-06-01 01:10:00+00:00,2022-06-01 01:10,129,-1,1,-1.0343986,05:00,01:10,20:10:00,-1
VLPPHU,2,C:USDJPY,2022-05-31 07:00:00+00:00,2022-05-31 07:00,127.9516021,2022-06-01 01:10:00+00:00,2022-06-01 01:10,129,-1,1,-1.0483979,07:00,01:10,18:10:00,-1
6JSTPS,2,C:USDJPY,2022-05-31 10:55:00+00:00,2022-05-31 10:55,127.9776008,2022-06-01 01:10:00+00:00,2022-06-01 01:10,129,-1,1,-1.0223992,10:55,01:10,14:15:00,-1
WX69YT,2,C:USDJPY,2022-05-31 11:10:00+00:00,2022-05-31 11:10,127.9876003,2022-06-01 01:10:00+00:00,2022-06-01 01:10,129,-1,1,-1.0123997,11:10,01:10,14:00:00,-1
PN7LL0,2,C:USDJPY,2022-05-31 00:10:00+00:00,2022-05-31 00:10,128.0534024,2022-06-01 01:15:00+00:00,2022-06-01 01:15,129,1,1,0.94659765,00:10,01:15,01:05:00,1
2CV1F0,2,C:USDJPY,2022-05-31 04:20:00+00:00,2022-05-31 04:20,128.0744034,2022-06-01 01:15:00+00:00,2022-06-01 01:15,129,1,1,0.9255966,04:20,01:15,20:55:00,1
UESTIZ,2,C:USDJPY,2022-05-31 04:55:00+00:00,2022-05-31 04:55,128.0134004,2022-06-01 01:15:00+00:00,2022-06-01 01:15,129,1,1,0.98659965,04:55,01:15,20:20:00,1
G992IR,2,C:USDJPY,2022-05-31 06:45:00+00:00,2022-05-31 06:45,128.0114003,2022-06-01 01:15:00+00:00,2022-06-01 01:15,129,1,1,0.98859975,06:45,01:15,18:30:00,1
JJIU6S,2,C:USDJPY,2022-05-31 10:45:00+00:00,2022-05-31 10:45,128.0274011,2022-06-01 01:15:00+00:00,2022-06-01 01:15,129,1,1,0.97259895,10:45,01:15,14:30:00,1
REKFFQ,2,C:USDJPY,2022-05-31 11:00:00+00:00,2022-05-31 11:00,128.0054,2022-06-01 01:15:00+00:00,2022-06-01 01:15,129,1,1,0.99460005,11:00,01:15,14:15:00,1
9V32VE,2,C:USDJPY,2022-05-31 11:05:00+00:00,2022-05-31 11:05,128.065403,2022-06-01 01:15:00+00:00,2022-06-01 01:15,129,1,1,0.93459705,11:05,01:15,14:10:00,1
89PM3F,2,C:USDJPY,2022-05-31 11:15:00+00:00,2022-05-31 11:15,128.0504022,2022-06-01 01:15:00+00:00,2022-06-01 01:15,129,1,1,0.9495978,11:15,01:15,14:00:00,1
328M6Z,2,C:USDJPY,2022-06-01 01:15:00+00:00,2022-06-01 01:15,129.0434519,2022-06-01 15:05:00+00:00,2022-06-01 15:05,130,1,1,0.95654815,01:15,15:05,13:50:00,1
71CF9C,2,C:USDJPY,2022-06-01 03:05:00+00:00,2022-06-01 03:05,128.9775508,2022-06-01 15:05:00+00:00,2022-06-01 15:05,130,-1,1,-1.0224492,03:05,15:05,12:00:00,-1
IWSJQP,2,C:USDJPY,2022-06-01 03:10:00+00:00,2022-06-01 03:10,129.0094502,2022-06-01 15:05:00+00:00,2022-06-01 15:05,130,1,1,0.99054985,03:10,15:05,11:55:00,1
QJVH73,2,C:USDJPY,2022-06-01 15:40:00+00:00,2022-06-01 15:40,130.0395017,2022-06-06 14:05:00+00:00,2022-06-06 14:05,131,1,1,0.96049835,15:40,14:05,22:25:00,1
1S2GPJ,2,C:USDJPY,2022-06-01 16:10:00+00:00,2022-06-01 16:10,129.9645015,2022-06-06 14:05:00+00:00,2022-06-06 14:05,131,-1,1,-1.03549855,16:10,14:05,21:55:00,-1
7VJBNC,2,C:USDJPY,2022-06-02 00:25:00+00:00,2022-06-02 00:25,129.9555019,2022-06-06 14:05:00+00:00,2022-06-06 14:05,131,-1,1,-1.0444981,00:25,14:05,13:40:00,-1
3ON76X,2,C:USDJPY,2022-06-02 00:50:00+00:00,2022-06-02 00:50,130.0415018,2022-06-06 14:05:00+00:00,2022-06-06 14:05,131,1,1,0.95849825,00:50,14:05,13:15:00,1
23AHDP,2,C:USDJPY,2022-06-02 01:55:00+00:00,2022-06-02 01:55,129.9875003,2022-06-06 14:05:00+00:00,2022-06-06 14:05,131,-1,1,-1.0124997,01:55,14:05,12:10:00,-1
AKN2MJ,2,C:USDJPY,2022-06-02 02:20:00+00:00,2022-06-02 02:20,130.0065,2022-06-06 14:05:00+00:00,2022-06-06 14:05,131,1,1,0.9935,02:20,14:05,11:45:00,1
4UB7JK,2,C:USDJPY,2022-06-02 02:30:00+00:00,2022-06-02 02:30,130.0805037,2022-06-06 14:05:00+00:00,2022-06-06 14:05,131,1,1,0.9194963,02:30,14:05,11:35:00,1
7JCOJC,2,C:USDJPY,2022-06-02 05:15:00+00:00,2022-06-02 05:15,129.9695012,2022-06-06 14:05:00+00:00,2022-06-06 14:05,131,-1,1,-1.0304988,05:15,14:05,08:50:00,-1
SUEV4G,2,C:USDJPY,2022-06-02 05:20:00+00:00,2022-06-02 05:20,130.0215008,2022-06-06 14:05:00+00:00,2022-06-06 14:05,131,1,1,0.97849925,05:20,14:05,08:45:00,1
NYKIEU,2,C:USDJPY,2022-06-02 06:00:00+00:00,2022-06-02 06:00,129.954502,2022-06-06 14:05:00+00:00,2022-06-06 14:05,131,-1,1,-1.04549805,06:00,14:05,08:05:00,-1
Z18I0L,2,C:USDJPY,2022-06-03 07:00:00+00:00,2022-06-03 07:00,130.0095002,2022-06-06 14:05:00+00:00,2022-06-06 14:05,131,1,1,0.99049985,07:00,14:05,07:05:00,1
1WCA8C,2,C:USDJPY,2022-06-03 07:05:00+00:00,2022-06-03 07:05,129.9905002,2022-06-06 14:05:00+00:00,2022-06-06 14:05,131,-1,1,-1.00949985,07:05,14:05,07:00:00,-1
T4ORLW,2,C:USDJPY,2022-06-03 09:05:00+00:00,2022-06-03 09:05,130.0095002,2022-06-06 14:05:00+00:00,2022-06-06 14:05,131,1,1,0.99049985,09:05,14:05,05:00:00,1
0OLM2Y,2,C:USDJPY,2022-06-06 14:05:00+00:00,2022-06-06 14:05,131.0545524,2022-06-06 18:55:00+00:00,2022-06-06 18:55,132,1,1,0.9454476,14:05,18:55,04:50:00,1
D9E2HE,2,C:USDJPY,2022-06-06 19:00:00+00:00,2022-06-06 19:00,131.9424026,2022-06-07 06:15:00+00:00,2022-06-07 06:15,133,-1,1,-1.05759745,19:00,06:15,11:15:00,-1
OX0E2U,2,C:USDJPY,2022-06-06 23:10:00+00:00,2022-06-06 23:10,131.9654014,2022-06-07 06:15:00+00:00,2022-06-07 06:15,133,-1,1,-1.0345986,23:10,06:15,07:05:00,-1
33KXS8,2,C:USDJPY,2022-06-06 18:55:00+00:00,2022-06-06 18:55,132.0096002,2022-06-08 00:55:00+00:00,2022-06-08 00:55,133,1,1,0.99039985,18:55,00:55,06:00:00,1
Q8XB4T,2,C:USDJPY,2022-06-06 23:05:00+00:00,2022-06-06 23:05,132.0086001,2022-06-08 00:55:00+00:00,2022-06-08 00:55,133,1,1,0.9913999,23:05,00:55,01:50:00,1
UDP7SM,2,C:USDJPY,2022-06-06 23:20:00+00:00,2022-06-06 23:20,132.1556075,2022-06-08 00:55:00+00:00,2022-06-08 00:55,133,1,1,0.84439255,23:20,00:55,01:35:00,1
5YR7AH,2,C:USDJPY,2022-06-08 01:25:00+00:00,2022-06-08 01:25,132.8883553,2022-06-08 10:35:00+00:00,2022-06-08 10:35,134,-1,1,-1.11164475,01:25,10:35,09:10:00,-1
IDKF10,2,C:USDJPY,2022-06-08 02:10:00+00:00,2022-06-08 02:10,132.9713511,2022-06-08 10:35:00+00:00,2022-06-08 10:35,134,-1,1,-1.0286489,02:10,10:35,08:25:00,-1
YNG1DC,2,C:USDJPY,2022-06-08 02:30:00+00:00,2022-06-08 02:30,132.9873503,2022-06-08 10:35:00+00:00,2022-06-08 10:35,134,-1,1,-1.0126497,02:30,10:35,08:05:00,-1
W88S5P,2,C:USDJPY,2022-06-08 03:00:00+00:00,2022-06-08 03:00,132.9693512,2022-06-08 10:35:00+00:00,2022-06-08 10:35,134,-1,1,-1.0306488,03:00,10:35,07:35:00,-1
EYOBAA,2,C:USDJPY,2022-06-08 03:15:00+00:00,2022-06-08 03:15,132.9363529,2022-06-08 10:35:00+00:00,2022-06-08 10:35,134,-1,1,-1.06364715,03:15,10:35,07:20:00,-1
NPR6Q8,2,C:USDJPY,2022-06-08 03:30:00+00:00,2022-06-08 03:30,132.9883503,2022-06-08 10:35:00+00:00,2022-06-08 10:35,134,-1,1,-1.01164975,03:30,10:35,07:05:00,-1
JL8X7D,2,C:USDJPY,2022-06-08 00:55:00+00:00,2022-06-08 00:55,133.0756535,2022-06-08 10:45:00+00:00,2022-06-08 10:45,134,1,1,0.92434655,00:55,10:45,09:50:00,1
JSXKQL,2,C:USDJPY,2022-06-08 01:20:00+00:00,2022-06-08 01:20,133.0826538,2022-06-08 10:45:00+00:00,2022-06-08 10:45,134,1,1,0.9173462,01:20,10:45,09:25:00,1
YQ3CDO,2,C:USDJPY,2022-06-08 01:30:00+00:00,2022-06-08 01:30,133.0276511,2022-06-08 10:45:00+00:00,2022-06-08 10:45,134,1,1,0.97234895,01:30,10:45,09:15:00,1
XDZI3A,2,C:USDJPY,2022-06-08 02:15:00+00:00,2022-06-08 02:15,133.0416518,2022-06-08 10:45:00+00:00,2022-06-08 10:45,134,1,1,0.95834825,02:15,10:45,08:30:00,1
L2XN7P,2,C:USDJPY,2022-06-08 02:55:00+00:00,2022-06-08 02:55,133.0246509,2022-06-08 10:45:00+00:00,2022-06-08 10:45,134,1,1,0.9753491,02:55,10:45,07:50:00,1
UBO2M2,2,C:USDJPY,2022-06-08 03:05:00+00:00,2022-06-08 03:05,133.0436519,2022-06-08 10:45:00+00:00,2022-06-08 10:45,134,1,1,0.95634815,03:05,10:45,07:40:00,1
ZLRW7C,2,C:USDJPY,2022-06-08 03:25:00+00:00,2022-06-08 03:25,133.025651,2022-06-08 10:45:00+00:00,2022-06-08 10:45,134,1,1,0.97434905,03:25,10:45,07:20:00,1
G4MHSL,2,C:USDJPY,2022-06-08 03:35:00+00:00,2022-06-08 03:35,133.0286511,2022-06-08 10:45:00+00:00,2022-06-08 10:45,134,1,1,0.9713489,03:35,10:45,07:10:00,1
