,open,high,low,close
2024-07-07 21:00:00+00:00,160.727,160.727,160.727,160.727
2024-07-07 21:15:00+00:00,160.711,160.711,160.711,160.711
2024-07-07 21:35:00+00:00,160.743,160.761,160.743,160.76
2024-07-07 21:40:00+00:00,160.763,160.806,160.763,160.792
2024-07-07 21:45:00+00:00,160.792,160.804,160.79,160.79
2024-07-07 21:50:00+00:00,160.789,160.789,160.788,160.788
2024-07-07 22:00:00+00:00,160.727,160.732,160.666,160.729
2024-07-07 22:05:00+00:00,160.715,160.741,160.704,160.712
2024-07-07 22:10:00+00:00,160.72,160.72,160.653,160.686
2024-07-07 22:15:00+00:00,160.678,160.69,160.659,160.687
2024-07-07 22:20:00+00:00,160.688,160.736,160.676,160.736
2024-07-07 22:25:00+00:00,160.732,160.744,160.711,160.727
2024-07-07 22:30:00+00:00,160.723,160.766,160.688,160.754
2024-07-07 22:35:00+00:00,160.754,160.765,160.711,160.729
2024-07-07 22:40:00+00:00,160.727,160.731,160.716,160.728
2024-07-07 22:45:00+00:00,160.723,160.754,160.722,160.725
2024-07-07 22:50:00+00:00,160.724,160.754,160.723,160.754
2024-07-07 22:55:00+00:00,160.753,160.769,160.748,160.766
2024-07-07 23:00:00+00:00,160.756,160.807,160.734,160.739
2024-07-07 23:05:00+00:00,160.735,160.755,160.696,160.702
2024-07-07 23:10:00+00:00,160.703,160.71,160.686,160.689
2024-07-07 23:15:00+00:00,160.686,160.694,160.657,160.686
2024-07-07 23:20:00+00:00,160.686,160.712,160.675,160.677
2024-07-07 23:25:00+00:00,160.677,160.702,160.66,160.691
2024-07-07 23:30:00+00:00,160.692,160.709,160.677,160.691
2024-07-07 23:35:00+00:00,160.69,160.701,160.686,160.692
2024-07-07 23:40:00+00:00,160.69,160.716,160.677,160.703
2024-07-07 23:45:00+00:00,160.706,160.708,160.579,160.597
2024-07-07 23:50:00+00:00,160.601,160.649,160.571,160.644
2024-07-07 23:55:00+00:00,160.65,160.654,160.603,160.636
