,open,high,low,close
2024-04-28 21:00:00+00:00,157.795,157.795,157.795,157.795
2024-04-28 21:15:00+00:00,157.815,157.815,157.815,157.815
2024-04-28 21:35:00+00:00,157.884,157.957,157.884,157.957
2024-04-28 21:40:00+00:00,157.91,157.91,157.828,157.896
2024-04-28 21:45:00+00:00,157.896,157.896,157.896,157.896
2024-04-28 22:45:00+00:00,158.328,158.335,158.278,158.311
2024-04-28 22:50:00+00:00,158.312,158.319,158.279,158.283
2024-04-28 22:55:00+00:00,158.283,158.307,158.205,158.222
2024-04-28 23:00:00+00:00,158.223,158.276,158.222,158.256
2024-04-28 23:05:00+00:00,158.257,158.332,158.256,158.304
2024-04-28 23:10:00+00:00,158.303,158.315,158.274,158.274
2024-04-28 23:15:00+00:00,158.274,158.284,158.187,158.199
2024-04-28 23:20:00+00:00,158.197,158.278,158.197,158.278
2024-04-28 23:25:00+00:00,158.282,158.286,158.208,158.224
2024-04-28 23:30:00+00:00,158.223,158.265,158.222,158.235
2024-04-28 23:35:00+00:00,158.239,158.243,158.218,158.233
2024-04-28 23:40:00+00:00,158.235,158.241,158.206,158.221
2024-04-28 23:45:00+00:00,158.225,158.236,158.186,158.187
2024-04-28 23:50:00+00:00,158.189,158.233,158.186,158.23
2024-04-28 23:55:00+00:00,158.23,158.24,158.193,158.193
2024-04-29 00:00:00+00:00,158.195,158.199,158.086,158.12
2024-04-29 00:05:00+00:00,158.119,158.14,158.085,158.123
2024-04-29 00:10:00+00:00,158.124,158.139,158.088,158.103
2024-04-29 00:15:00+00:00,158.101,158.148,158.087,158.1
2024-04-29 00:20:00+00:00,158.104,158.131,158.047,158.068
2024-04-29 00:25:00+00:00,158.07,158.114,158.045,158.114
2024-04-29 00:30:00+00:00,158.106,158.168,158.104,158.137
2024-04-29 00:35:00+00:00,158.137,158.168,158.133,158.153
2024-04-29 00:40:00+00:00,158.163,158.287,158.155,158.271
2024-04-29 00:45:00+00:00,158.275,158.303,158.241,158.241
2024-04-29 00:50:00+00:00,158.25,158.256,158.168,158.171
2024-04-29 00:55:00+00:00,158.174,158.2,158.126,158.183
2024-04-29 01:00:00+00:00,158.187,158.33,158.185,158.27
2024-04-29 01:05:00+00:00,158.276,158.311,158.267,158.3
2024-04-29 01:10:00+00:00,158.296,158.349,158.288,158.34
2024-04-29 01:15:00+00:00,158.338,158.415,158.338,158.372
2024-04-29 01:20:00+00:00,158.373,158.387,158.336,158.34
2024-04-29 01:25:00+00:00,158.342,158.42,158.323,158.414
2024-04-29 01:30:00+00:00,158.379,158.66,158.379,158.651
2024-04-29 01:35:00+00:00,158.65,160.185,158.615,159.273
2024-04-29 01:40:00+00:00,159.286,159.424,159.094,159.144
2024-04-29 01:45:00+00:00,159.15,159.467,159.109,159.265
2024-04-29 01:50:00+00:00,159.255,159.385,159.243,159.255
2024-04-29 01:55:00+00:00,159.259,159.268,159.041,159.165
2024-04-29 02:00:00+00:00,159.166,159.218,159.081,159.14
2024-04-29 02:05:00+00:00,159.143,159.325,159.099,159.218
2024-04-29 02:10:00+00:00,159.216,159.276,159.125,159.27
2024-04-29 02:15:00+00:00,159.258,159.475,159.258,159.309
2024-04-29 02:20:00+00:00,159.306,159.378,159.239,159.352
2024-04-29 02:25:00+00:00,159.349,159.412,159.318,159.362
2024-04-29 02:30:00+00:00,159.364,159.389,159.316,159.351
2024-04-29 02:35:00+00:00,159.364,159.375,159.246,159.302
2024-04-29 02:40:00+00:00,159.3,159.345,159.24,159.243
2024-04-29 02:45:00+00:00,159.242,159.282,159.169,159.226
2024-04-29 02:50:00+00:00,159.226,159.307,159.222,159.279
2024-04-29 02:55:00+00:00,159.278,159.387,159.277,159.364
