,open,high,low,close
2023-07-30 19:10:00+00:00,140.646,140.646,140.646,140.646
2023-07-30 19:35:00+00:00,140.679,140.679,140.679,140.679
2023-07-30 20:00:00+00:00,140.957,140.957,140.957,140.957
2023-07-30 20:25:00+00:00,140.825,140.965,140.825,140.965
2023-07-30 20:50:00+00:00,140.908,140.908,140.908,140.908
2023-07-30 20:55:00+00:00,140.915,140.915,140.915,140.915
2023-07-30 21:00:00+00:00,140.915,141.016,140.912,141.016
2023-07-30 21:10:00+00:00,140.975,140.994,140.975,140.994
2023-07-30 21:15:00+00:00,140.996,140.996,140.937,140.937
2023-07-30 21:20:00+00:00,140.97,140.978,140.93,140.978
2023-07-30 21:25:00+00:00,140.977,140.979,140.971,140.978
2023-07-30 21:30:00+00:00,140.979,141.097,140.979,141.056
2023-07-30 21:35:00+00:00,141.054,141.09,141.049,141.09
2023-07-30 21:40:00+00:00,141.074,141.095,141.069,141.081
2023-07-30 21:45:00+00:00,141.063,141.063,141.06,141.063
2023-07-30 21:55:00+00:00,141.062,141.07,141.04,141.047
2023-07-30 22:00:00+00:00,141.049,141.147,141.041,141.053
2023-07-30 22:05:00+00:00,141.052,141.111,141.001,141.013
2023-07-30 22:10:00+00:00,141.021,141.021,140.919,140.919
2023-07-30 22:15:00+00:00,140.926,140.964,140.896,140.896
2023-07-30 22:20:00+00:00,140.898,140.931,140.847,140.885
2023-07-30 22:25:00+00:00,140.884,140.914,140.857,140.869
2023-07-30 22:30:00+00:00,140.871,140.902,140.845,140.852
2023-07-30 22:35:00+00:00,140.85,140.889,140.836,140.85
2023-07-30 22:40:00+00:00,140.853,140.898,140.843,140.894
2023-07-30 22:45:00+00:00,140.889,140.934,140.878,140.923
2023-07-30 22:50:00+00:00,140.918,140.924,140.835,140.847
2023-07-30 22:55:00+00:00,140.843,140.871,140.816,140.829
2023-07-30 23:00:00+00:00,140.834,140.834,140.791,140.819
2023-07-30 23:05:00+00:00,140.817,140.94,140.81,140.917
2023-07-30 23:10:00+00:00,140.914,140.919,140.831,140.848
2023-07-30 23:15:00+00:00,140.848,140.887,140.847,140.858
2023-07-30 23:20:00+00:00,140.857,140.88,140.83,140.852
2023-07-30 23:25:00+00:00,140.85,140.875,140.807,140.831
2023-07-30 23:30:00+00:00,140.831,140.858,140.802,140.804
2023-07-30 23:35:00+00:00,140.802,140.859,140.794,140.859
2023-07-30 23:40:00+00:00,140.858,140.89,140.826,140.829
2023-07-30 23:45:00+00:00,140.829,140.834,140.768,140.776
2023-07-30 23:50:00+00:00,140.774,140.815,140.758,140.78
2023-07-30 23:55:00+00:00,140.778,140.791,140.745,140.754
2023-07-31 00:00:00+00:00,140.743,140.832,140.689,140.691
2023-07-31 00:05:00+00:00,140.691,140.84,140.689,140.829
2023-07-31 00:10:00+00:00,140.828,140.869,140.793,140.817
2023-07-31 00:15:00+00:00,140.823,140.871,140.76,140.794
2023-07-31 00:20:00+00:00,140.795,140.816,140.699,140.803
2023-07-31 00:25:00+00:00,140.805,140.844,140.782,140.82
2023-07-31 00:30:00+00:00,140.821,140.905,140.82,140.861
2023-07-31 00:35:00+00:00,140.858,140.885,140.79,140.805
2023-07-31 00:40:00+00:00,140.801,140.806,140.698,140.751
2023-07-31 00:45:00+00:00,140.748,140.823,140.726,140.821
2023-07-31 00:50:00+00:00,140.823,140.934,140.814,140.898
2023-07-31 00:55:00+00:00,140.909,140.946,140.86,140.897
2023-07-31 01:00:00+00:00,140.9,140.97,140.826,140.946
2023-07-31 01:05:00+00:00,140.942,140.977,140.896,140.927
2023-07-31 01:10:00+00:00,140.925,141.165,140.907,141.01
2023-07-31 01:15:00+00:00,141.005,141.137,141.005,141.092
2023-07-31 01:20:00+00:00,141.093,141.104,141.032,141.068
2023-07-31 01:25:00+00:00,141.072,141.307,141.063,141.306
2023-07-31 01:30:00+00:00,141.309,141.474,141.297,141.455
2023-07-31 01:35:00+00:00,141.445,141.584,141.409,141.489
2023-07-31 01:40:00+00:00,141.497,141.647,141.465,141.604
2023-07-31 01:45:00+00:00,141.603,141.625,141.529,141.577
2023-07-31 01:50:00+00:00,141.574,141.575,141.451,141.52
2023-07-31 01:55:00+00:00,141.521,141.562,141.483,141.551
2023-07-31 02:00:00+00:00,141.549,141.587,141.463,141.501
2023-07-31 02:05:00+00:00,141.502,141.585,141.478,141.483
2023-07-31 02:10:00+00:00,141.48,141.57,141.431,141.455
2023-07-31 02:15:00+00:00,141.452,141.54,141.439,141.512
2023-07-31 02:20:00+00:00,141.513,141.543,141.478,141.496
2023-07-31 02:25:00+00:00,141.496,141.554,141.455,141.524
2023-07-31 02:30:00+00:00,141.526,141.588,141.518,141.533
2023-07-31 02:35:00+00:00,141.537,141.566,141.504,141.539
2023-07-31 02:40:00+00:00,141.536,141.574,141.51,141.572
2023-07-31 02:45:00+00:00,141.571,141.75,141.569,141.737
2023-07-31 02:50:00+00:00,141.735,141.738,141.658,141.67
2023-07-31 02:55:00+00:00,141.671,141.735,141.669,141.726
2023-07-31 03:00:00+00:00,141.724,141.742,141.629,141.632
2023-07-31 03:05:00+00:00,141.633,141.701,141.627,141.665
2023-07-31 03:10:00+00:00,141.664,141.744,141.659,141.688
2023-07-31 03:15:00+00:00,141.683,141.698,141.666,141.686
2023-07-31 03:20:00+00:00,141.684,141.687,141.631,141.653
2023-07-31 03:25:00+00:00,141.655,141.683,141.629,141.677
2023-07-31 03:30:00+00:00,141.675,141.694,141.641,141.688
2023-07-31 03:35:00+00:00,141.69,141.694,141.633,141.656
2023-07-31 03:40:00+00:00,141.654,141.724,141.639,141.702
2023-07-31 03:45:00+00:00,141.717,141.813,141.704,141.809
2023-07-31 03:50:00+00:00,141.811,141.879,141.773,141.808
2023-07-31 03:55:00+00:00,141.811,141.814,141.736,141.742
2023-07-31 04:00:00+00:00,141.743,141.744,141.684,141.731
2023-07-31 04:05:00+00:00,141.728,141.773,141.708,141.765
2023-07-31 04:10:00+00:00,141.763,141.766,141.718,141.73
2023-07-31 04:15:00+00:00,141.733,141.804,141.719,141.792
2023-07-31 04:20:00+00:00,141.793,141.892,141.784,141.854
2023-07-31 04:25:00+00:00,141.856,141.891,141.84,141.866
2023-07-31 04:30:00+00:00,141.866,141.871,141.8,141.809
2023-07-31 04:35:00+00:00,141.806,141.828,141.787,141.813
2023-07-31 04:40:00+00:00,141.813,141.846,141.797,141.828
2023-07-31 04:45:00+00:00,141.83,141.949,141.823,141.898
2023-07-31 04:50:00+00:00,141.902,141.906,141.868,141.874
2023-07-31 04:55:00+00:00,141.871,141.907,141.845,141.881
2023-07-31 05:00:00+00:00,141.88,141.914,141.817,141.845
2023-07-31 05:05:00+00:00,141.844,141.937,141.838,141.93
2023-07-31 05:10:00+00:00,141.932,141.944,141.892,141.913
2023-07-31 05:15:00+00:00,141.914,141.936,141.897,141.919
2023-07-31 05:20:00+00:00,141.92,141.942,141.892,141.913
2023-07-31 05:25:00+00:00,141.915,141.94,141.876,141.889
2023-07-31 05:30:00+00:00,141.888,141.906,141.857,141.863
2023-07-31 05:35:00+00:00,141.86,141.914,141.859,141.886
2023-07-31 05:40:00+00:00,141.889,141.9,141.821,141.886
2023-07-31 05:45:00+00:00,141.884,141.906,141.859,141.883
2023-07-31 05:50:00+00:00,141.882,141.896,141.819,141.852
2023-07-31 05:55:00+00:00,141.851,141.854,141.781,141.781
2023-07-31 06:00:00+00:00,141.78,141.861,141.78,141.833
2023-07-31 06:05:00+00:00,141.831,141.847,141.789,141.797
2023-07-31 06:10:00+00:00,141.805,141.805,141.695,141.715
2023-07-31 06:15:00+00:00,141.713,141.756,141.58,141.614
2023-07-31 06:20:00+00:00,141.615,141.683,141.574,141.681
2023-07-31 06:25:00+00:00,141.68,141.715,141.656,141.667
2023-07-31 06:30:00+00:00,141.65,141.708,141.632,141.669
2023-07-31 06:35:00+00:00,141.674,141.742,141.655,141.72
2023-07-31 06:40:00+00:00,141.72,141.826,141.706,141.813
2023-07-31 06:45:00+00:00,141.809,141.987,141.809,141.96
2023-07-31 06:50:00+00:00,141.956,142.161,141.952,142.071
2023-07-31 06:55:00+00:00,142.073,142.091,142.01,142.049
2023-07-31 07:00:00+00:00,142.046,142.144,141.885,141.97
2023-07-31 07:05:00+00:00,141.971,142.032,141.915,142.025
2023-07-31 07:10:00+00:00,142.02,142.104,141.96,142.084
2023-07-31 07:15:00+00:00,142.086,142.143,142.01,142.073
2023-07-31 07:20:00+00:00,142.073,142.078,141.954,141.969
2023-07-31 07:25:00+00:00,141.967,142.035,141.958,142.007
2023-07-31 07:30:00+00:00,142.008,142.132,142.006,142.092
2023-07-31 07:35:00+00:00,142.088,142.186,142.05,142.183
2023-07-31 07:40:00+00:00,142.184,142.219,142.11,142.166
2023-07-31 07:45:00+00:00,142.164,142.175,142.07,142.096
2023-07-31 07:50:00+00:00,142.098,142.164,142.097,142.124
2023-07-31 07:55:00+00:00,142.123,142.222,142.108,142.175
2023-07-31 08:00:00+00:00,142.171,142.182,142.096,142.152
2023-07-31 08:05:00+00:00,142.151,142.185,142.107,142.114
2023-07-31 08:10:00+00:00,142.111,142.197,142.111,142.163
2023-07-31 08:15:00+00:00,142.165,142.175,142.109,142.141
2023-07-31 08:20:00+00:00,142.138,142.337,142.123,142.313
2023-07-31 08:25:00+00:00,142.314,142.356,142.257,142.34
2023-07-31 08:30:00+00:00,142.346,142.397,142.336,142.373
2023-07-31 08:35:00+00:00,142.374,142.482,142.368,142.481
2023-07-31 08:40:00+00:00,142.473,142.486,142.428,142.446
