,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL
FJBI5P,1,C:USDJPY,2022-05-27 00:40:00+00:00,126.628635,2022-05-27 00:40:00+00:00,127,-1,1,-0.3713649999999973
Y6D70A,1,C:USDJPY,2022-05-27 01:00:00+00:00,127.3175,2022-05-31 01:00:00+00:00,128,1,1,0.6825000000000045
9AIVKQ,1,C:USDJPY,2022-05-31 04:20:00+00:00,127.6610475,2022-05-31 04:20:00+00:00,128,-1,1,-0.3389525000000049
2V3Y1Z,1,C:USDJPY,2022-05-31 04:45:00+00:00,127.67501250000001,2022-05-31 04:45:00+00:00,128,-1,1,-0.32498749999999177
WJOJ0A,1,C:USDJPY,2022-05-31 05:00:00+00:00,128.3270175,2022-06-01 06:40:00+00:00,129,1,1,0.6729824999999892
MBRRPT,1,C:USDJPY,2022-06-01 15:45:00+00:00,130.35808249999997,2022-06-06 14:35:00+00:00,131,1,1,0.6419175000000337
AV9Q95,1,C:USDJPY,2022-06-06 19:00:00+00:00,132.33300749999998,2022-06-08 06:50:00+00:00,133,1,1,0.6669925000000205
QCTZYW,1,C:USDJPY,2022-06-08 10:50:00+00:00,134.36206749999997,2022-06-09 10:05:00+00:00,133,1,1,-1.3620674999999665
CD429D,1,C:USDJPY,2022-06-09 13:25:00+00:00,134.37911,2022-06-14 19:00:00+00:00,135,1,1,0.6208900000000028
S6ES9W,1,C:USDJPY,2022-06-15 00:55:00+00:00,134.62958250000003,2022-06-15 00:55:00+00:00,135,-1,1,-0.37041749999997364
ZU2C1T,1,C:USDJPY,2022-06-15 05:10:00+00:00,134.59866000000002,2022-06-15 05:10:00+00:00,135,-1,1,-0.40133999999997627
ZIWHOV,1,C:USDJPY,2022-06-15 05:35:00+00:00,135.3625625,2022-06-15 10:30:00+00:00,134,1,1,-1.3625624999999957
82S8N0,1,C:USDJPY,2022-06-15 18:45:00+00:00,133.5323325,2022-06-15 18:45:00+00:00,134,-1,1,-0.46766750000000457
NXMFFE,1,C:USDJPY,2022-06-15 19:05:00+00:00,133.65303,2022-06-15 19:05:00+00:00,134,-1,1,-0.3469699999999989
S83SGF,1,C:USDJPY,2022-06-15 22:10:00+00:00,134.36307,2022-06-16 08:55:00+00:00,133,1,1,-1.3630699999999933
185IR9,1,C:USDJPY,2022-06-16 09:20:00+00:00,132.4769775,2022-06-16 09:20:00+00:00,133,-1,1,-0.5230224999999962
SWU0OI,1,C:USDJPY,2022-06-16 09:50:00+00:00,133.3515475,2022-06-16 15:15:00+00:00,132,1,1,-1.3515475000000094
9R10H1,1,C:USDJPY,2022-06-16 15:45:00+00:00,131.544315,2022-06-16 15:45:00+00:00,132,-1,1,-0.45568499999998835
3WU0E6,1,C:USDJPY,2022-06-16 16:20:00+00:00,132.35105249999998,2022-06-17 01:35:00+00:00,133,1,1,0.6489475000000198
FJ3GJ3,1,C:USDJPY,2022-06-17 02:45:00+00:00,134.669835,2022-06-17 02:55:00+00:00,133,1,1,-1.6698350000000062
4SI5UB,1,C:USDJPY,2022-06-17 03:40:00+00:00,134.433245,2022-06-17 15:00:00+00:00,135,1,1,0.5667550000000006
QAVTPU,1,C:USDJPY,2022-06-17 15:40:00+00:00,134.65053,2022-06-17 15:40:00+00:00,135,-1,1,-0.3494699999999966
LBMW1L,1,C:USDJPY,2022-06-17 17:10:00+00:00,134.6435475,2022-06-17 17:10:00+00:00,135,-1,1,-0.35645249999998896
POWHRZ,1,C:USDJPY,2022-06-17 17:30:00+00:00,134.64753750000003,2022-06-17 17:30:00+00:00,135,-1,1,-0.35246249999997303
TU9NK0,1,C:USDJPY,2022-06-17 19:25:00+00:00,135.343515,2022-06-17 20:55:00+00:00,134,1,1,-1.3435149999999965
FIH6PR,1,C:USDJPY,2022-06-19 22:05:00+00:00,135.491885,2022-06-21 16:25:00+00:00,136,1,1,0.5081150000000036
WI8KIF,1,C:USDJPY,2022-06-22 09:50:00+00:00,135.55227,2022-06-22 09:50:00+00:00,136,-1,1,-0.44773000000000707
9NWOPI,1,C:USDJPY,2022-06-22 10:10:00+00:00,136.42922249999998,2022-06-23 02:45:00+00:00,135,1,1,-1.4292224999999803
JB72J2,1,C:USDJPY,2022-06-23 13:00:00+00:00,134.6226,2022-06-23 13:00:00+00:00,135,-1,1,-0.3773999999999944
GDN1MG,1,C:USDJPY,2022-06-24 00:20:00+00:00,135.411685,2022-06-28 18:45:00+00:00,136,1,1,0.5883149999999944
ZIYDMG,1,C:USDJPY,2022-06-29 01:05:00+00:00,135.65401500000002,2022-06-29 01:05:00+00:00,136,-1,1,-0.34598499999998467
