,candle_size,percent_candle_size,parkinson_volatility,shortterm_momentum,momentum,longterm_momentum,extralongterm_momentum,percent2MA_shortterm,percent2MA_longterm
8F0QD5,-0.1419999999999959,-0.0008914782215637024,,0.36950000000001637,0.13147222222221444,,,0.005579679570881348,
JCEQC7,0.3090000000000259,0.001958658984159748,,-0.32566666666667743,0.09363888888887573,,,-0.009250536945627273,
O7ZGJP,-1.299000000000035,-0.008217150375749823,,-0.6558333333333621,-0.006138888888870042,,,-0.006555553577170534,
NYT8E2,0.16199999999997772,0.0010331764435769443,,-1.3691666666666436,-0.17272222222223377,,,-0.013332969760912642,
N4535N,-0.8809999999999718,-0.005606893742680947,,-1.571416666666721,-0.47811111111107607,,,-0.008898455424935768,
COCJBB,-0.1479999999999677,-0.0009473515762519939,,-1.5030000000000143,-0.6701666666666597,,,-0.01297916341994541,
IO4RVJ,-0.03700000000000614,-0.00023754951623365973,,-1.6875,-1.0586388888888791,,,-0.012367832855127403,
1XRXA6,-1.1129999999999995,-0.007120875746156452,,-0.9939166666666779,-1.6613055555555434,,,-0.0033195898311192203,
TQ30OU,0.30999999999994543,0.001996817973937953,,-0.8007499999999936,-1.913250000000005,,,-0.007761764481871717,
P8ND69,0.12700000000000955,0.0008141234390626014,,-0.29400000000001114,-2.0772777777777662,,,-3.4187741985153016e-05,
I5EIKU,0.21399999999999864,0.0013705385447954673,,-0.028249999999985675,-2.0576388888888744,,,0.0013536890833232321,
R2K7RR,-0.38900000000001,-0.0024744917432127046,,0.2881666666666831,-0.32344444444444775,,,0.003100044772516351,
HGEHVK,0.19300000000001205,0.0012307496094124417,,0.23566666666667402,-0.20252777777778874,,,0.0002934253583297225,
EYHPAR,0.05700000000001637,0.00036304345056887243,,0.18016666666667902,-0.07830555555557339,,,0.0011339374623394831,
MSMDCQ,-0.8769999999999527,-0.005608600280109953,,-0.10116666666669971,0.40491666666667925,,,-0.003705037002583685,
IJ5YIP,0.03899999999998727,0.0002508280541530518,,-0.5045000000000073,0.36644444444448254,,,-0.008625682366180798,
E2NUQI,0.031999999999982265,0.00020676242351394203,,-1.1603333333333126,-0.044194444444457304,,,-0.009499652269633911,
J5Y565,0.08000000000004093,0.0005151253686368556,,-0.9678333333333455,-0.32719444444444434,,,-0.003962506373467676,
Z3SN9W,0.13800000000000523,0.0008841506387668356,,0.08183333333334986,0.044638888888897554,,,0.0013290578231037885,
FSCGYG,0.30400000000000205,0.0019550719324985823,,-0.342583333333323,-0.14205555555557225,,,-0.006488994480068579,
MJ139A,-0.06299999999998818,-0.0004037193445647725,,0.0801666666666847,-0.5032222222222344,,,0.000920429362658901,
