,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
4KRDML,2,C:USDJPY,2022-05-27 00:35:00+00:00,126.94282634999999,2022-05-31 00:10:00+00:00,128,-1,1,-1.05717365000001,98.94282634999999
3JTGUK,2,C:USDJPY,2022-05-27 00:55:00+00:00,127.003175,2022-05-31 00:10:00+00:00,128,1,1,0.9968250000000012,99.93965134999999
44QATY,2,C:USDJPY,2022-05-27 01:10:00+00:00,127.06217647499999,2022-05-31 00:10:00+00:00,128,1,1,0.9378235250000131,100.877474875
VD4VSO,2,C:USDJPY,2022-05-27 01:30:00+00:00,126.98282535,2022-05-31 00:10:00+00:00,128,-1,1,-1.0171746500000012,99.860300225
LD2WB0,2,C:USDJPY,2022-05-27 06:45:00+00:00,127.01317525,2022-05-31 00:10:00+00:00,128,1,1,0.9868247499999967,100.847124975
F78EUV,2,C:USDJPY,2022-05-27 06:50:00+00:00,126.989825175,2022-05-31 00:10:00+00:00,128,-1,1,-1.010174825000007,99.83695014999999
7X6F0S,2,C:USDJPY,2022-05-27 06:55:00+00:00,127.01617532499999,2022-05-31 00:10:00+00:00,128,1,1,0.9838246750000081,100.820774825
U1UXA7,2,C:USDJPY,2022-05-27 11:05:00+00:00,126.967825725,2022-05-31 00:10:00+00:00,128,-1,1,-1.0321742750000027,99.78860055
FHNVEQ,2,C:USDJPY,2022-05-27 12:40:00+00:00,127.036175825,2022-05-31 00:10:00+00:00,128,1,1,0.9638241749999992,100.752424725
IA8FSL,2,C:USDJPY,2022-05-27 13:00:00+00:00,126.99082514999999,2022-05-31 00:10:00+00:00,128,-1,1,-1.009174850000008,99.74324987499999
E1BM60,2,C:USDJPY,2022-05-27 13:35:00+00:00,127.004175025,2022-05-31 00:10:00+00:00,128,1,1,0.995824975000005,100.73907485
1KO8E8,2,C:USDJPY,2022-05-27 13:40:00+00:00,126.95082614999998,2022-05-31 00:10:00+00:00,128,-1,1,-1.0491738500000167,99.68990099999998
DH4M1T,2,C:USDJPY,2022-05-27 14:50:00+00:00,127.043176,2022-05-31 00:10:00+00:00,128,1,1,0.9568239999999975,100.64672499999998
7WS15J,2,C:USDJPY,2022-05-30 01:40:00+00:00,126.9288267,2022-05-31 00:10:00+00:00,128,-1,1,-1.071173299999998,99.57555169999998
PJQ8DL,2,C:USDJPY,2022-05-30 02:40:00+00:00,127.008175125,2022-05-31 00:10:00+00:00,128,1,1,0.991824875000006,100.56737657499998
21YAHC,2,C:USDJPY,2022-05-30 02:45:00+00:00,126.96282584999999,2022-05-31 00:10:00+00:00,128,-1,1,-1.0371741500000127,99.53020242499997
W7EJ4S,2,C:USDJPY,2022-05-30 03:15:00+00:00,127.02117544999999,2022-05-31 00:10:00+00:00,128,1,1,0.978824550000013,100.50902697499998
9AFURA,2,C:USDJPY,2022-05-30 03:35:00+00:00,126.99082514999999,2022-05-31 00:10:00+00:00,128,-1,1,-1.009174850000008,99.49985212499998
J26RP6,2,C:USDJPY,2022-05-30 03:50:00+00:00,127.0191754,2022-05-31 00:10:00+00:00,128,1,1,0.9808246000000054,100.48067672499998
ZI5JLT,2,C:USDJPY,2022-05-30 03:55:00+00:00,126.97582552499999,2022-05-31 00:10:00+00:00,128,-1,1,-1.0241744750000095,99.45650224999997
FUMT6B,2,C:USDJPY,2022-05-30 04:25:00+00:00,127.01317525,2022-05-31 00:10:00+00:00,128,1,1,0.9868247499999967,100.44332699999997
QB92D1,2,C:USDJPY,2022-05-30 04:35:00+00:00,126.967825725,2022-05-31 00:10:00+00:00,128,-1,1,-1.0321742750000027,99.41115272499997
FCJM3V,2,C:USDJPY,2022-05-30 04:50:00+00:00,126.998174875,2022-05-31 00:10:00+00:00,128,1,1,1.0018251249999963,100.41297784999996
L97XIM,2,C:USDJPY,2022-05-30 05:05:00+00:00,126.987825225,2022-05-31 00:10:00+00:00,128,-1,1,-1.0121747750000054,99.40080307499996
CS4H1W,2,C:USDJPY,2022-05-30 05:35:00+00:00,126.981825375,2022-05-31 00:10:00+00:00,128,-1,1,-1.0181746250000003,98.38262844999996
HYZNIC,2,C:USDJPY,2022-05-30 05:50:00+00:00,127.01717534999999,2022-05-31 00:10:00+00:00,128,1,1,0.982824650000012,99.36545309999997
WY0BL2,2,C:USDJPY,2022-05-31 00:10:00+00:00,128.05020117499998,2022-06-01 01:10:00+00:00,129,1,1,0.9497988250000162,100.31525192499998
