,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
O2L3WI,1,C:USDJPY,2024-04-29 04:05:00+00:00,157.757055975,2024-04-29 04:15:00+00:00,157,-1,4.029008863819455,3.050185233682423,103.05018523368243
MTERHM,1,C:USDJPY,2024-04-29 04:25:00+00:00,157.13192819999998,2024-04-29 04:40:00+00:00,156,1,4.6252327304166085,-5.235431359121446,97.81475387456098
UZCH6E,1,C:USDJPY,2024-04-29 04:55:00+00:00,156.30490752499998,2024-04-29 06:25:00+00:00,157,1,3.8030619702395363,2.643479757472267,100.45823363203324
WVBH8W,1,C:USDJPY,2024-04-29 19:30:00+00:00,156.07390174999998,2024-04-30 11:15:00+00:00,157,1,4.71192465441068,4.363705176581698,104.82193880861495
O4J4XV,1,C:USDJPY,2024-05-01 21:25:00+00:00,155.124878025,2024-05-02 02:10:00+00:00,156,1,4.700535372583592,4.113541798812776,108.93548060742772
7FSLQY,1,C:USDJPY,2024-05-02 03:20:00+00:00,156.00990015,2024-05-02 11:20:00+00:00,155,1,5.435902225919496,-5.489718473341394,103.44576213408632
WY4N0W,1,C:USDJPY,2024-05-02 15:10:00+00:00,153.91015215,2024-05-02 23:20:00+00:00,153,-1,4.745218446517583,4.31887077131758,107.7646329054039
JJQN9T,1,C:USDJPY,2024-05-03 00:00:00+00:00,152.967175725,2024-05-03 12:35:00+00:00,152,-1,5.277406116816961,5.1041790871519,112.8688119925558
4JOVEL,1,C:USDJPY,2024-05-07 00:40:00+00:00,153.95415104999998,2024-05-08 01:40:00+00:00,155,-1,5.421172526059374,-5.669727594148159,107.19908439840765
F5327Q,1,C:USDJPY,2024-05-13 15:00:00+00:00,156.12590305,2024-05-15 12:30:00+00:00,155,1,4.794234543757072,-5.39784329523147,101.80124110317618
8P1401,1,C:USDJPY,2024-05-15 15:20:00+00:00,154.93312657500002,2024-05-16 00:30:00+00:00,154,-1,4.797419467633025,4.47659959667081,106.27784069984699
459VB8,1,C:USDJPY,2024-05-16 03:05:00+00:00,153.973150575,2024-05-16 12:35:00+00:00,155,-1,5.179232002916467,-5.318291404136344,100.95954929571064
XN99M1,1,C:USDJPY,2024-05-21 15:05:00+00:00,156.0359008,2024-05-23 13:45:00+00:00,157,1,4.8867158419997425,4.711278833899242,105.67082812960989
4OCOQ2,1,C:USDJPY,2024-05-23 15:00:00+00:00,157.068926625,2024-06-03 15:55:00+00:00,156,1,4.942508331600274,-5.283178749931807,100.38764937967808
ZGDTFE,1,C:USDJPY,2024-06-04 10:20:00+00:00,154.94112637499998,2024-06-05 07:30:00+00:00,156,-1,4.7712761112013355,-5.052178431743748,95.33547094793434
WSP7PV,1,C:USDJPY,2024-06-05 10:00:00+00:00,155.97910042499998,2024-06-07 14:05:00+00:00,157,-1,4.691706247437623,-4.789760914033987,90.54571003390035
8VH62Z,1,C:USDJPY,2024-06-10 03:05:00+00:00,157.01092517499998,2024-06-12 13:00:00+00:00,156,1,4.500283798901735,-4.549450186954323,85.99625984694603
US87V1,1,C:USDJPY,2024-06-12 13:10:00+00:00,155.97510052500002,2024-06-13 02:55:00+00:00,157,-1,4.215502933673665,-4.320466743583031,81.675793103363
6GV0B3,1,C:USDJPY,2024-06-13 03:05:00+00:00,156.9920751,2024-06-14 05:05:00+00:00,158,-1,4.06751957686063,-4.099754262755318,77.5760388406077
8RVTOG,1,C:USDJPY,2024-06-14 09:45:00+00:00,157.11792785,2024-06-18 07:15:00+00:00,158,1,3.4756289803140104,3.0657555272678834,80.64179436787558
EJSXT9,1,C:USDJPY,2024-06-19 19:05:00+00:00,157.99505002499998,2024-06-21 00:50:00+00:00,159,-1,4.024041635123494,-4.043960540616381,76.5978338272592
VYNGYT,1,C:USDJPY,2024-06-21 10:45:00+00:00,159.01497527499998,2024-06-26 09:35:00+00:00,160,1,3.7919719716465288,3.735186148578893,80.33301997583808
4FI6R8,1,C:USDJPY,2024-06-26 10:00:00+00:00,160.0200004,2024-06-28 00:55:00+00:00,161,1,3.9651046384916055,3.8858009596799716,84.21882093551805
PNOM7C,1,C:USDJPY,2024-06-28 04:00:00+00:00,161.03802584999997,2024-07-11 12:40:00+00:00,160,1,4.0882922784233156,-4.24375306735867,79.97506786815939
LP8R58,1,C:USDJPY,2024-07-11 13:00:00+00:00,157.84605374999998,2024-07-11 22:00:00+00:00,159,-1,3.4621241501367668,-3.9951051800848227,75.97996268807456
8N0MJ3,1,C:USDJPY,2024-07-12 00:50:00+00:00,159.03697582499998,2024-07-12 13:05:00+00:00,158,1,3.6599211314101043,-3.7952497346788707,72.18471295339569
QT7V4M,1,C:USDJPY,2024-07-12 13:25:00+00:00,158.09295222499998,2024-07-17 07:35:00+00:00,157,1,3.317312176167187,-3.6256637239614404,68.55904922943425
