,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
RKJGME,1,C:USDJPY,2022-05-27 00:40:00+00:00,126.94282634999999,2022-05-27 21:00:00+00:00,127.09817737499999,-1,4.775549188156652,-0.7418864613180616,99.25811353868194
HURAJ4,1,C:USDJPY,2022-05-31 00:15:00+00:00,128.05020117499998,2022-06-01 01:10:00+00:00,129.0,1,4.722079616493012,4.48502567130159,103.74313920998353
PBPO4J,1,C:USDJPY,2022-06-02 00:30:00+00:00,129.95875095,2022-06-03 16:30:00+00:00,130.84527105,-1,4.982859712295094,-4.4174052904298815,99.32573391955364
JQPBWS,1,C:USDJPY,2022-06-08 01:00:00+00:00,133.07232672499998,2022-06-08 10:45:00+00:00,134.0,1,4.650081176009014,4.313756033564216,103.63948995311786
GMOXCM,1,C:USDJPY,2022-06-14 00:30:00+00:00,133.9326516,2022-06-14 16:15:00+00:00,135.0,-1,4.852036046494228,-5.1788129109678716,98.46067704214998
6GW4OE,1,C:USDJPY,2022-06-15 00:55:00+00:00,134.963625825,2022-06-15 18:35:00+00:00,134.0,-1,4.817058563706009,4.641842032524558,103.10251907467455
SN434B,1,C:USDJPY,2022-06-17 00:55:00+00:00,133.16032892500002,2022-06-17 02:40:00+00:00,134.0,1,4.502293409374395,3.7804455470147413,106.88296462168928
JBL8Z2,1,C:USDJPY,2022-06-21 00:35:00+00:00,134.98262534999998,2022-06-21 11:35:00+00:00,136.0,-1,5.25481635308209,-5.346116948031283,101.536847673658
ZBD497,1,C:USDJPY,2022-06-23 00:05:00+00:00,136.06040142499998,2022-06-23 12:30:00+00:00,135.0,1,4.798527772857217,-5.088365688239777,96.44848198541823
KVA0H8,1,C:USDJPY,2022-06-24 00:20:00+00:00,135.07737685,2022-06-24 21:00:00+00:00,135.16662075,1,4.4901527926171845,0.4007187468089831,96.8492007322272
UYP2NX,1,C:USDJPY,2022-06-27 00:10:00+00:00,134.985625275,2022-06-28 10:15:00+00:00,136.0,-1,4.747509839814879,-4.815753988197061,92.03344674403014
XATVK6,1,C:USDJPY,2022-07-04 00:40:00+00:00,135.05537629999998,2022-07-05 00:45:00+00:00,136.0,1,4.411958137297679,4.167640219899341,96.20108696392948
XTNS7B,1,C:USDJPY,2022-07-08 00:20:00+00:00,136.00840012499998,2022-07-08 21:00:00+00:00,136.0565985,1,4.790890785056294,0.2309131506423159,96.4320001145718
