,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
O0FEDX,2,C:USDJPY,2022-05-27 00:40:00+00:00,126.94282634999999,2022-05-27 01:50:00+00:00,126.80000000000001,-1,1,0.14282634999997867,100.14282634999998
FRUU5F,2,C:USDJPY,2022-05-27 01:00:00+00:00,127.003175,2022-05-27 01:50:00+00:00,126.8,1,1,-0.20317500000000166,99.93965134999998
BI7U1Z,2,C:USDJPY,2022-05-27 01:15:00+00:00,127.06217647499999,2022-05-27 01:50:00+00:00,126.8,1,1,-0.26217647499998975,99.67747487499999
SAIC06,2,C:USDJPY,2022-05-27 01:35:00+00:00,126.98282535,2022-05-27 01:50:00+00:00,126.80000000000001,-1,1,0.18282534999998745,99.86030022499997
IOJ4MM,2,C:USDJPY,2022-05-27 01:55:00+00:00,126.79483005,2022-05-27 06:45:00+00:00,127.00000000000001,-1,1,-0.2051699500000126,99.65513027499996
BO3U31,2,C:USDJPY,2022-05-27 02:20:00+00:00,126.816170325,2022-05-27 06:45:00+00:00,127.0,1,1,0.18382967499999836,99.83895994999996
QGMVO7,2,C:USDJPY,2022-05-27 02:25:00+00:00,126.789830175,2022-05-27 06:45:00+00:00,127.00000000000001,-1,1,-0.21016982500000836,99.62879012499995
KKWD0O,2,C:USDJPY,2022-05-27 03:30:00+00:00,126.818170375,2022-05-27 06:45:00+00:00,127.0,1,1,0.181829625000006,99.81061974999996
R425LJ,2,C:USDJPY,2022-05-27 03:35:00+00:00,126.79083014999999,2022-05-27 06:45:00+00:00,127.00000000000001,-1,1,-0.20916985000002342,99.60144989999993
NPXIA4,2,C:USDJPY,2022-05-27 03:50:00+00:00,126.81517029999999,2022-05-27 06:45:00+00:00,127.0,1,1,0.18482970000000876,99.78627959999994
K866WE,2,C:USDJPY,2022-05-27 05:05:00+00:00,126.777830475,2022-05-27 06:45:00+00:00,127.00000000000001,-1,1,-0.2221695250000124,99.56411007499993
226RIM,2,C:USDJPY,2022-05-27 05:20:00+00:00,126.808170125,2022-05-27 06:45:00+00:00,127.0,1,1,0.19182987499999626,99.75593994999993
V7BTNC,2,C:USDJPY,2022-05-27 05:25:00+00:00,126.7928301,2022-05-27 06:45:00+00:00,127.00000000000001,-1,1,-0.2071699000000109,99.54877004999992
C8HPTV,2,C:USDJPY,2022-05-27 05:50:00+00:00,126.83317075,2022-05-27 06:45:00+00:00,127.0,1,1,0.16682925000000637,99.71559929999992
7LN6PS,2,C:USDJPY,2022-05-27 06:15:00+00:00,126.769830675,2022-05-27 06:45:00+00:00,127.00000000000001,-1,1,-0.23016932500001985,99.4854299749999
U2NPRK,2,C:USDJPY,2022-05-27 06:20:00+00:00,126.8111702,2022-05-27 06:45:00+00:00,127.0,1,1,0.1888297999999935,99.6742597749999
PVJSRH,2,C:USDJPY,2022-05-27 06:55:00+00:00,126.989825175,2022-05-27 07:20:00+00:00,127.2,-1,1,-0.21017482500000995,99.46408494999989
0SC47G,2,C:USDJPY,2022-05-27 06:50:00+00:00,127.01317525,2022-05-27 14:25:00+00:00,126.8,1,1,-0.21317525000000614,99.25090969999988
N0P360,2,C:USDJPY,2022-05-27 07:00:00+00:00,127.01617532499999,2022-05-27 14:25:00+00:00,126.8,1,1,-0.2161753249999947,99.03473437499989
ZI5FTI,2,C:USDJPY,2022-05-27 11:10:00+00:00,126.967825725,2022-05-27 14:25:00+00:00,126.80000000000001,-1,1,0.16782572499998594,99.20256009999987
C33D0R,2,C:USDJPY,2022-05-27 12:45:00+00:00,127.036175825,2022-05-27 14:25:00+00:00,126.8,1,1,-0.23617582500000367,98.96638427499987
SUR824,2,C:USDJPY,2022-05-27 13:05:00+00:00,126.99082514999999,2022-05-27 14:25:00+00:00,126.80000000000001,-1,1,0.19082514999998068,99.15720942499985
3FZ8CW,2,C:USDJPY,2022-05-27 13:40:00+00:00,127.004175025,2022-05-27 14:25:00+00:00,126.8,1,1,-0.20417502499999785,98.95303439999985
JUV8Q3,2,C:USDJPY,2022-05-27 13:45:00+00:00,126.95082614999998,2022-05-27 14:25:00+00:00,126.80000000000001,-1,1,0.1508261499999719,99.10386054999982
P1H2RP,2,C:USDJPY,2022-05-27 14:55:00+00:00,127.043176,2022-05-27 15:10:00+00:00,127.2,1,1,0.1568240000000003,99.26068454999982
U0LV4S,2,C:USDJPY,2022-05-29 22:55:00+00:00,127.20618007499999,2022-05-30 00:55:00+00:00,127.0,1,1,-0.2061800749999918,99.05450447499983
XCPLFC,2,C:USDJPY,2022-05-29 23:00:00+00:00,127.19182012499999,2022-05-30 00:55:00+00:00,127.0,-1,1,0.19182012499999246,99.24632459999982
743270,2,C:USDJPY,2022-05-29 23:10:00+00:00,127.20618007499999,2022-05-30 00:55:00+00:00,127.0,1,1,-0.2061800749999918,99.04014452499983
5QLTHR,2,C:USDJPY,2022-05-30 00:40:00+00:00,127.17582052499999,2022-05-30 00:55:00+00:00,127.0,-1,1,0.1758205249999918,99.21596504999982
V2HTJM,2,C:USDJPY,2022-05-30 01:45:00+00:00,126.9288267,2022-05-30 06:15:00+00:00,127.2,-1,1,-0.27117330000000095,98.94479174999982
P8WVKJ,2,C:USDJPY,2022-05-30 02:45:00+00:00,127.008175125,2022-05-30 06:15:00+00:00,127.2,1,1,0.1918248750000089,99.13661662499983
5G9L08,2,C:USDJPY,2022-05-30 02:50:00+00:00,126.96282584999999,2022-05-30 06:15:00+00:00,127.2,-1,1,-0.23717415000001552,98.89944247499982
JHDKS3,2,C:USDJPY,2022-05-30 03:20:00+00:00,127.02117544999999,2022-05-30 06:15:00+00:00,127.2,1,1,0.17882455000001585,99.07826702499983
IS67ES,2,C:USDJPY,2022-05-30 03:40:00+00:00,126.99082514999999,2022-05-30 06:15:00+00:00,127.2,-1,1,-0.2091748500000108,98.86909217499982
