,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
PJTEUW,2,C:USDJPY,2022-05-27 13:05:00+00:00,126.99082514999999,2022-05-29 21:00:00+00:00,126.99317475,-1,4.955401387512317,-0.011643211100110254,99.98835678889989
EC9AIU,2,C:USDJPY,2022-05-27 13:40:00+00:00,127.004175025,2022-05-29 21:00:00+00:00,126.98682524999998,1,4.9950049950049715,-0.0866622127872812,99.90169457611262
JBD73H,2,C:USDJPY,2022-05-27 13:45:00+00:00,126.95082614999998,2022-05-29 21:00:00+00:00,126.99317475,-1,4.766444232602448,-0.20185224022884077,99.69984233588377
LZDJQ3,2,C:USDJPY,2022-06-01 15:45:00+00:00,130.03625082499997,2022-06-03 07:45:00+00:00,129.851753625,1,4.835103896017614,-0.8920631305242509,98.80777920535952
BFFZ33,2,C:USDJPY,2022-06-06 19:05:00+00:00,131.945701275,2022-06-07 06:15:00+00:00,133.0,-1,4.71411160330913,-4.9700818528765,93.83769735248302
QF8HB8,2,C:USDJPY,2022-06-08 16:00:00+00:00,134.05335125,2022-06-10 08:00:00+00:00,133.605659775,1,4.568534437803517,-2.0452939210485486,91.79240343143447
X8GDTI,2,C:USDJPY,2022-06-09 13:25:00+00:00,134.04735110000001,2022-06-11 07:45:00+00:00,134.41663949999997,1,4.546400065527356,1.6789328059583082,93.47133623739278
2U516S,2,C:USDJPY,2022-06-09 13:30:00+00:00,133.91665199999997,2022-06-11 07:45:00+00:00,134.42336049999997,-1,4.348364103451453,-2.203353052313739,91.26798318507903
VCY6NI,2,C:USDJPY,2022-06-09 15:45:00+00:00,133.94965117499999,2022-06-11 07:45:00+00:00,134.42336049999997,-1,4.564090338155826,-2.1620521533267603,89.10593103175228
57QZIR,2,C:USDJPY,2022-06-09 15:50:00+00:00,134.06335149999998,2022-06-11 07:55:00+00:00,134.39664,1,4.43048618283691,1.4766300941484793,90.58256112590075
SQOC70,2,C:USDJPY,2022-06-10 13:20:00+00:00,134.19135469999998,2022-06-12 21:00:00+00:00,134.30264235,1,3.869831510600081,0.4306644547107756,91.01322558061153
BMU7UA,2,C:USDJPY,2022-06-13 13:05:00+00:00,133.94265134999998,2022-06-14 16:15:00+00:00,135.0,-1,4.333963122886217,-4.582510057133625,86.43071552347791
O4ELWX,2,C:USDJPY,2022-06-13 13:30:00+00:00,133.921651875,2022-06-14 16:15:00+00:00,135.0,-1,4.233173282819187,-4.564834472328126,81.86588105114978
OUT0BK,2,C:USDJPY,2022-06-13 15:15:00+00:00,134.02135045,2022-06-14 17:00:00+00:00,135.0,1,4.461432626500645,4.366179032280175,86.23206008342996
7PPAHP,2,C:USDJPY,2022-06-15 19:05:00+00:00,133.9846503,2022-06-16 09:15:00+00:00,133.0,-1,4.277383932709777,4.2117273725578555,90.44378745598782
51D5A6,2,C:USDJPY,2022-06-16 15:45:00+00:00,131.87070315,2022-06-17 00:50:00+00:00,133.0,-1,3.9948669371019183,-4.511390648238356,85.93239680774946
K4Z2YU,2,C:USDJPY,2022-06-16 19:55:00+00:00,132.03130069999997,2022-06-17 00:50:00+00:00,133.0,1,4.394741858891552,4.257183362389059,90.18958017013851
PFUCIR,2,C:USDJPY,2022-06-17 15:40:00+00:00,134.9846253,2022-06-19 21:00:00+00:00,134.90637257499998,-1,4.438463591050162,0.34732187081308113,90.53690204095159
CN0F3Q,2,C:USDJPY,2022-06-17 19:25:00+00:00,135.00937514999998,2022-06-19 21:00:00+00:00,134.89962742499998,1,4.464830701492046,-0.49000501199893026,90.04689702895266
2LIKFZ,2,C:USDJPY,2022-06-17 19:35:00+00:00,134.979625425,2022-06-19 21:00:00+00:00,134.90637257499998,-1,4.478132083919467,0.3280359378236169,90.37493296677627
3VB7PG,2,C:USDJPY,2022-06-20 13:10:00+00:00,135.12237797499998,2022-06-21 11:35:00+00:00,136.0,1,4.034595221731068,3.540849628551033,93.9157825953273
IS5TV9,2,C:USDJPY,2022-06-20 13:25:00+00:00,134.9686257,2022-06-21 11:35:00+00:00,136.0,-1,4.399948050962874,-4.537993341098243,89.37778925422906
78PYQ9,2,C:USDJPY,2022-06-20 13:30:00+00:00,135.04937614999997,2022-06-21 11:35:00+00:00,136.0,1,4.3241594720947285,4.110649125376779,93.48843837960584
XQPC7Y,2,C:USDJPY,2022-06-20 15:05:00+00:00,135.034375775,2022-06-21 11:35:00+00:00,136.0,1,4.3786304731966,4.228111657241847,97.71655003684768
K8PE0D,2,C:USDJPY,2022-06-20 15:20:00+00:00,134.979625425,2022-06-21 11:35:00+00:00,136.0,-1,4.456357641359733,-4.547154034350464,93.16939600249721
7UYUYK,2,C:USDJPY,2022-06-20 15:25:00+00:00,135.02337550000001,2022-06-21 11:35:00+00:00,136.0,1,4.430143772881146,4.326586947118098,97.49598294961531
