,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
CS4T3F,1,C:USDJPY,2022-05-27 00:40:00+00:00,126.94282634999999,2022-05-29 21:00:00+00:00,126.99317475,-1,1,-0.05034840000000429,99.9496516
SN4NCO,1,C:USDJPY,2022-05-30 01:45:00+00:00,126.9288267,2022-05-31 00:10:00+00:00,128.0,-1,1,-1.071173299999998,98.8784783
L9VYI6,1,C:USDJPY,2022-05-31 04:20:00+00:00,127.97780047499998,2022-06-01 01:10:00+00:00,129.0,-1,1,-1.022199525000019,97.85627877499998
D8M1AG,1,C:USDJPY,2022-06-01 03:10:00+00:00,128.9807754,2022-06-01 15:05:00+00:00,130.0,-1,1,-1.0192246000000011,96.83705417499998
DO9WGG,1,C:USDJPY,2022-06-01 15:45:00+00:00,130.03625082499997,2022-06-05 21:00:00+00:00,130.89472755,1,1,0.8584767250000311,97.69553090000001
KWW1RG,1,C:USDJPY,2022-06-06 14:10:00+00:00,131.0512762,2022-06-06 18:55:00+00:00,132.0,1,1,0.9487238000000104,98.64425470000002
30NJHP,1,C:USDJPY,2022-06-06 23:10:00+00:00,132.00530005,2022-06-08 00:55:00+00:00,133.0,1,1,0.9946999500000118,99.63895465000003
QYOTUD,1,C:USDJPY,2022-06-08 01:25:00+00:00,133.07932689999998,2022-06-08 10:45:00+00:00,134.0,1,1,0.9206731000000161,100.55962775000005
UX5CXM,1,C:USDJPY,2022-06-08 11:00:00+00:00,133.99864995000001,2022-06-10 21:15:00+00:00,134.42336049999997,-1,1,-0.4247105499999577,100.13491720000009
X0JGKH,1,C:USDJPY,2022-06-13 04:10:00+00:00,135.0753768,2022-06-13 12:25:00+00:00,134.0,1,1,-1.0753767999999866,99.0595404000001
U0X4XM,1,C:USDJPY,2022-06-13 12:40:00+00:00,134.083352,2022-06-14 17:00:00+00:00,135.0,1,1,0.9166480000000092,99.97618840000011
2JJ30U,1,C:USDJPY,2022-06-14 18:50:00+00:00,135.08437702499998,2022-06-15 18:35:00+00:00,134.0,1,1,-1.0843770249999807,98.89181137500013
R8CV0R,1,C:USDJPY,2022-06-15 18:55:00+00:00,134.22135544999998,2022-06-16 09:15:00+00:00,133.0,1,1,-1.221355449999976,97.67045592500016
CJWWU8,1,C:USDJPY,2022-06-16 09:50:00+00:00,133.022325475,2022-06-16 15:40:00+00:00,132.0,1,1,-1.0223254750000024,96.64813045000015
5L61S4,1,C:USDJPY,2022-06-16 16:20:00+00:00,132.02430052499997,2022-06-17 00:50:00+00:00,133.0,1,1,0.9756994750000274,97.62382992500018
Z4F20T,1,C:USDJPY,2022-06-17 02:45:00+00:00,134.33735835,2022-06-17 02:55:00+00:00,133.0,1,1,-1.3373583499999881,96.28647157500019
DGD974,1,C:USDJPY,2022-06-17 03:40:00+00:00,134.10135245,2022-06-17 14:10:00+00:00,135.0,1,1,0.8986475499999926,97.18511912500018
WJ7A72,1,C:USDJPY,2022-06-17 15:40:00+00:00,134.9846253,2022-06-18 07:35:00+00:00,134.963374,-1,1,0.02125130000001718,97.2063704250002
QILEWZ,1,C:USDJPY,2022-06-19 22:05:00+00:00,135.15737885,2022-06-21 11:35:00+00:00,136.0,1,1,0.8426211500000136,98.04899157500022
S2JW6C,1,C:USDJPY,2022-06-21 11:50:00+00:00,136.080401925,2022-06-23 12:30:00+00:00,135.0,1,1,-1.0804019249999897,96.96858965000023
Z5JT5N,1,C:USDJPY,2022-06-23 13:00:00+00:00,134.956626,2022-06-26 21:00:00+00:00,134.7993699,-1,1,0.1572561000000121,97.12584575000024
7773H9,1,C:USDJPY,2022-06-27 00:10:00+00:00,134.985625275,2022-06-28 10:15:00+00:00,136.0,-1,1,-1.0143747250000104,96.11147102500023
C1WH67,1,C:USDJPY,2022-06-28 10:35:00+00:00,136.06040142499998,2022-07-01 03:45:00+00:00,135.0,1,1,-1.0604014249999807,95.05106960000025
5ZT3NC,1,C:USDJPY,2022-07-01 05:05:00+00:00,134.86862820000002,2022-07-03 21:00:00+00:00,135.1593789,-1,1,-0.2907506999999896,94.76031890000026
F2ZNES,1,C:USDJPY,2022-07-04 00:40:00+00:00,135.05537629999998,2022-07-05 00:45:00+00:00,136.0,1,1,0.9446237000000224,95.70494260000028
IABD01,1,C:USDJPY,2022-07-05 01:10:00+00:00,135.983600325,2022-07-06 12:35:00+00:00,135.0,-1,1,0.9836003249999976,96.68854292500028
EAURUI,1,C:USDJPY,2022-07-06 23:05:00+00:00,136.058401375,2022-07-08 21:10:00+00:00,136.07659800000002,1,1,0.018196625000030053,96.70673955000031
XTTCUR,1,C:USDJPY,2022-07-10 21:05:00+00:00,136.05740135,2022-07-11 01:40:00+00:00,137.0,1,1,0.9425986500000079,97.64933820000032
6IFQ7V,1,C:USDJPY,2022-07-11 02:35:00+00:00,136.853578575,2022-07-14 01:10:00+00:00,138.0,-1,1,-1.1464214249999998,96.50291677500032
WVL4S6,1,C:USDJPY,2022-07-14 02:15:00+00:00,138.052451225,2022-07-14 07:55:00+00:00,139.0,1,1,0.9475487750000013,97.45046555000032
VX7SOF,1,C:USDJPY,2022-07-14 09:10:00+00:00,138.91952692499999,2022-07-16 17:05:00+00:00,138.53346324999998,-1,1,0.3860636750000026,97.83652922500032
M16CZQ,1,C:USDJPY,2022-07-18 08:10:00+00:00,137.97455055,2022-07-22 11:40:00+00:00,137.0,-1,1,0.9745505500000036,98.81107977500032
PH1N93,1,C:USDJPY,2022-07-22 14:05:00+00:00,135.73460655,2022-07-23 09:25:00+00:00,136.05340125,-1,1,-0.3187947000000122,98.49228507500031
CJYWY9,1,C:USDJPY,2022-07-25 02:20:00+00:00,135.953601075,2022-07-27 00:55:00+00:00,137.0,-1,1,-1.0463989250000054,97.4458861500003
CCRFIL,1,C:USDJPY,2022-07-27 01:50:00+00:00,136.9525761,2022-07-28 01:00:00+00:00,136.0,-1,1,0.9525760999999875,98.39846225000029
2TA0FG,1,C:USDJPY,2022-07-28 12:45:00+00:00,134.89062765,2022-07-29 03:10:00+00:00,134.0,-1,1,0.890627649999999,99.28908990000029
UZPZMB,1,C:USDJPY,2022-07-29 05:25:00+00:00,132.86667825,2022-07-29 12:30:00+00:00,134.0,-1,1,-1.1333217499999932,98.1557681500003
RHDPD5,1,C:USDJPY,2022-07-29 13:00:00+00:00,134.0673516,2022-07-29 21:05:00+00:00,133.18667025,1,1,-0.8806813500000032,97.2750868000003
0GLJJI,1,C:USDJPY,2022-08-01 00:25:00+00:00,132.86667825,2022-08-01 09:45:00+00:00,132.0,-1,1,0.8666782500000068,98.1417650500003
2DUG3W,1,C:USDJPY,2022-08-01 10:05:00+00:00,131.96370082500002,2022-08-02 00:15:00+00:00,131.0,-1,1,0.9637008250000179,99.10546587500032
