,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
WVY3JQ,1,C:USDJPY,2024-04-29 19:35:00+00:00,156.07390174999998,2024-04-30 11:15:00+00:00,157.0,1,4.690431519699926,4.343800422139054,104.34380042213905
WNEY61,1,C:USDJPY,2024-05-01 21:30:00+00:00,155.124878025,2024-05-02 02:10:00+00:00,156.0,1,4.679094189333552,4.094778148180663,108.43857857031972
ZTVMSX,1,C:USDJPY,2024-05-02 15:15:00+00:00,153.91015215,2024-05-02 23:20:00+00:00,153.0,-1,4.974246723409016,4.52732134994111,112.96589992026082
I23L1F,1,C:USDJPY,2024-05-13 15:05:00+00:00,156.12590305,2024-05-15 07:05:00+00:00,156.23209409999998,1,5.05214221468074,0.5364922865261635,113.502392206787
JMJIZ6,1,C:USDJPY,2024-05-15 15:25:00+00:00,154.93312657500002,2024-05-16 00:30:00+00:00,154.0,-1,5.3488403490472765,4.991145075128381,118.49353728191538
L0DZN3,1,C:USDJPY,2024-05-21 15:10:00+00:00,156.0359008,2024-05-23 07:10:00+00:00,156.675083025,1,5.7354083873146235,3.6659710942873356,122.15950837620271
SBK6EH,1,C:USDJPY,2024-05-23 13:50:00+00:00,157.0519262,2024-05-26 21:00:00+00:00,156.963075825,1,5.811584604005906,-0.5163614714101088,121.6431469047926
4YRFYM,1,C:USDJPY,2024-06-04 13:25:00+00:00,154.9121271,2024-06-05 07:30:00+00:00,156.0,-1,5.574846329275513,-6.06472424328335,115.57842266150925
TQY1UM,1,C:USDJPY,2024-06-05 13:25:00+00:00,155.93610149999998,2024-06-07 05:25:00+00:00,155.6678916,-1,5.4518123896938215,1.4622300558584755,117.04065271736772
M4R4G7,1,C:USDJPY,2024-06-11 13:20:00+00:00,157.03792585,2024-06-12 13:00:00+00:00,156.0,1,5.648680150452103,-5.86291114653609,111.17774157083163
PCM4GS,1,C:USDJPY,2024-06-12 13:15:00+00:00,155.97510052500002,2024-06-13 02:55:00+00:00,157.0,-1,5.449889292687619,-5.5855886748835735,105.59215289594806
O8IBST,1,C:USDJPY,2024-06-13 19:45:00+00:00,157.0159253,2024-06-14 05:50:00+00:00,158.0,1,5.217003601578459,5.133921254122282,110.72607415007035
3B2Q8G,1,C:USDJPY,2024-06-19 19:10:00+00:00,157.99505002499998,2024-06-21 00:50:00+00:00,159.0,-1,5.525253201101262,-5.552603066315475,105.17347108375488
IXGYGZ,1,C:USDJPY,2024-06-21 13:15:00+00:00,159.01397525,2024-06-23 21:00:00+00:00,159.6640083,1,5.216938049789525,3.3911821521658356,108.56465323592072
OJBDKT,1,C:USDJPY,2024-07-05 13:50:00+00:00,161.0760268,2024-07-07 21:00:00+00:00,160.722981825,1,5.07311463719259,-1.7910376302597355,106.77361560566098
CTCDR5,1,C:USDJPY,2024-07-09 13:55:00+00:00,160.98297532499998,2024-07-11 05:55:00+00:00,161.7080426,-1,5.275376265101825,-3.825002693137136,102.94861291252384
FQ1JMQ,1,C:USDJPY,2024-07-11 13:05:00+00:00,157.84605374999998,2024-07-11 22:00:00+00:00,159.0,-1,4.456649909633063,-5.142734450783993,97.80587846173985
JCUZ0V,1,C:USDJPY,2024-07-12 13:10:00+00:00,157.747056225,2024-07-14 21:00:00+00:00,158.08195195,-1,3.8719666849460515,-1.2967050901308372,96.50917337160901
SHVPL3,1,C:USDJPY,2024-07-15 13:10:00+00:00,158.0479511,2024-07-17 05:10:00+00:00,158.1720456,1,4.626518378312964,0.5741254848974842,97.08329885650649
